family,family_name,size,boundary_complexity,hole_count,reflex_count,aligned_candidate_count,chord_count,candidate_output_ratio_numerator,candidate_output_ratio_denominator,selected_horizontal_cut_count,selected_vertical_cut_count,added_horizontal_cut_count,added_vertical_cut_count,coordinate_x_count,coordinate_y_count,coordinate_cartesian_product,sparse_subdivision_vertices,sparse_subdivision_half_edges,sparse_subdivision_junctions,sparse_subdivision_interior_faces,dense_owned_bytes_estimate,sparse_owned_bytes_estimate,cut_index_owned_bytes_estimate,completion_microseconds,recovery_microseconds,validation_microseconds,reference_microseconds,indexed_microseconds,sweep_microseconds,subdivision_input_segment_count,subdivision_reported_intersections,reference_subdivision_candidate_pair_tests,sweep_subdivision_candidate_pair_tests,reference_subdivision_recovery_microseconds,sweep_subdivision_recovery_microseconds,dense_recovery_microseconds,reference_validator_microseconds,event_validator_microseconds,dense_validator_microseconds,reference_validator_boundary_edge_scans,reference_validator_active_rectangle_resorts,event_validator_boundary_edge_scans,event_validator_active_rectangle_resorts,sparse_materialized_tree_nodes,sparse_logical_tree_nodes,geometry_backends_equal,auto_selected_backend,actual_fastest_recovery_backend,auto_time_regret_microseconds,auto_memory_regret_bytes,reference_pair_iterations,indexed_pair_iterations,sweep_event_count,sweep_status_operations,sweep_output_record_count,chord_families_equal,optimum_equal,cuts_equal,rectangles_equal,three_backend_equal,reference_boundary_edge_visits,indexed_boundary_edge_visits,reference_definition7_full_boundary_scans,indexed_definition7_full_boundary_scans,sweep_aligned_pair_iterations,sweep_all_pair_iterations,sweep_definition7_fallback_checks,sweep_full_boundary_scans,sweep_duplicate_output_count,reference_completion_candidate_rebuilds,indexed_completion_candidate_rebuilds,reference_completion_cut_pair_tests,indexed_completion_cut_pair_tests,reference_completion_full_boundary_scans,indexed_completion_full_boundary_scans,reference_completion_full_cut_scans,indexed_completion_full_cut_scans,reference_arrangement_boundary_edge_visits,indexed_arrangement_boundary_edge_visits,reference_validator_rectangle_cell_tests,indexed_validator_rectangle_cell_tests,reference_prepare_owned_bytes,indexed_prepare_owned_bytes,sweep_prepare_owned_bytes,reference_owned_allocations,indexed_owned_allocations,sweep_owned_allocations,status,message
v1.3-F,dense-sparse-crossover,64,516,0,256,128,0,128,1,0,0,256,0,258,130,33540,772,2056,512,257,371269,238384,43896,1302,696,87,421580,2404,2484,772,1028,17540,0,662,669,389,188,85,80,66306,257,0,0,333,2584,true,dense-arrangement,dense-arrangement,0,0,32640,128,1544,1544,0,true,true,true,true,true,66048,0,128,0,0,0,0,0,0,258,0,0,0,256,0,256,0,0,0,0,0,150136,150136,150136,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":150136,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":43896,""polygon_prepared_context"":150136,""polygon_sparse_subdivision"":238384}","{""polygon_arrangement"":0,""polygon_cut_index"":43896,""polygon_prepared_context"":150136,""polygon_sparse_subdivision"":238384}",verified,
A,staircase-sparse,128,516,0,256,128,0,128,1,0,0,256,0,258,130,33540,772,2056,512,257,371269,238384,43896,1317,708,86,421675,2438,2509,772,1028,17540,0,669,676,390,187,86,82,66306,257,0,0,333,2584,true,dense-arrangement,dense-arrangement,0,0,32640,128,1544,1544,0,true,true,true,true,true,66048,0,128,0,0,0,0,0,0,258,0,0,0,256,0,256,0,0,0,0,0,150136,150136,150136,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":150136,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":43896,""polygon_prepared_context"":150136,""polygon_sparse_subdivision"":238384}","{""polygon_arrangement"":0,""polygon_cut_index"":43896,""polygon_prepared_context"":150136,""polygon_sparse_subdivision"":238384}",verified,
B,many-coordinates-few-faces,128,1028,0,512,256,0,256,1,0,0,512,0,514,258,132612,1540,4104,1024,513,1463365,475952,89864,3276,1403,239,3245697,5579,5603,1540,2052,67844,0,1479,1355,1412,585,183,303,263682,513,0,0,668,5144,true,sparse-subdivision,sparse-subdivision,34,0,130816,256,3080,3080,0,true,true,true,true,true,263168,0,256,0,0,0,0,0,0,514,0,0,0,512,0,512,0,0,0,0,0,315128,315128,315128,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":315128,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":89864,""polygon_prepared_context"":315128,""polygon_sparse_subdivision"":475952}","{""polygon_arrangement"":0,""polygon_cut_index"":89864,""polygon_prepared_context"":315128,""polygon_sparse_subdivision"":475952}",verified,
C,hole-coordinate-cross-product,128,516,128,512,65536,254,65536,254,254,0,4,0,258,4,1032,520,1556,516,131,12925,188320,33880,270,527,53,36989,6511,2691,774,1032,1544,0,455,469,52,108,48,4,66306,257,0,0,175,2072,true,dense-arrangement,dense-arrangement,0,0,130816,65536,2056,2056,254,true,true,true,true,true,33816576,0,65536,0,0,0,0,0,0,6,0,0,0,4,0,4,0,0,0,0,0,112424,112424,112424,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":112424,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":33880,""polygon_prepared_context"":112424,""polygon_sparse_subdivision"":188320}","{""polygon_arrangement"":0,""polygon_cut_index"":33880,""polygon_prepared_context"":112424,""polygon_sparse_subdivision"":188320}",verified,
D,completion-heavy,128,2052,0,1024,1024,512,1024,512,0,256,512,0,514,514,264196,2564,6664,1536,769,2912325,744208,146032,4766,2328,365,14918316,13998,14490,2820,3588,137732,0,2371,2289,2303,1118,353,727,526338,513,0,0,514,4112,true,sparse-subdivision,sparse-subdivision,88,0,523776,1024,6152,6152,512,true,true,true,true,true,2101248,0,1024,0,0,0,0,0,0,514,0,33751040,0,512,0,512,0,0,0,0,0,501304,501304,501304,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":501304,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":146032,""polygon_prepared_context"":501304,""polygon_sparse_subdivision"":744208}","{""polygon_arrangement"":0,""polygon_cut_index"":146032,""polygon_prepared_context"":501304,""polygon_sparse_subdivision"":744208}",verified,
E,sparse-path-tree,128,2052,0,1024,1024,512,1024,512,0,256,512,0,514,514,264196,2564,6664,1536,769,2912325,744208,146032,4707,2357,373,14909548,13944,14474,2820,3588,137732,0,2377,2300,2347,1116,360,720,526338,513,0,0,514,4112,true,sparse-subdivision,sparse-subdivision,59,0,523776,1024,6152,6152,512,true,true,true,true,true,2101248,0,1024,0,0,0,0,0,0,514,0,33751040,0,512,0,512,0,0,0,0,0,501304,501304,501304,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":501304,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":146032,""polygon_prepared_context"":501304,""polygon_sparse_subdivision"":744208}","{""polygon_arrangement"":0,""polygon_cut_index"":146032,""polygon_prepared_context"":501304,""polygon_sparse_subdivision"":744208}",verified,
F,4d-fallback-sparse,128,516,128,512,1020,127,1020,127,127,0,258,0,258,131,33798,774,2318,770,258,374113,264552,63128,1402,831,110,756124,3380,3466,901,1286,34310,0,812,771,275,445,104,81,66306,257,0,0,405,2688,true,dense-arrangement,dense-arrangement,0,0,130816,1020,2056,2056,127,true,true,true,true,true,526320,0,1020,0,0,0,0,0,0,260,0,0,0,258,0,258,0,0,0,0,0,118224,118224,118224,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":118224,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":63128,""polygon_prepared_context"":118224,""polygon_sparse_subdivision"":264552}","{""polygon_arrangement"":0,""polygon_cut_index"":63128,""polygon_prepared_context"":118224,""polygon_sparse_subdivision"":264552}",verified,
G,aligned-reflex-heavy,128,2052,0,1024,131072,1020,131072,1020,0,510,4,0,260,260,67600,2056,5140,1028,515,746721,591872,107392,1678,1722,255,923644,24518,16242,2566,3080,202248,0,1835,1731,599,282,256,163,265734,259,0,0,208,2080,true,dense-arrangement,dense-arrangement,0,0,523776,131072,6152,6152,1020,true,true,true,true,true,268959744,0,131072,0,0,0,0,0,0,6,0,7140,0,4,0,4,0,0,0,0,0,405352,405352,405352,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":405352,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":107392,""polygon_prepared_context"":405352,""polygon_sparse_subdivision"":591872}","{""polygon_arrangement"":0,""polygon_cut_index"":107392,""polygon_prepared_context"":405352,""polygon_sparse_subdivision"":591872}",verified,
H,huge-coordinate,128,132,0,64,64,32,64,32,0,16,32,0,34,34,1156,164,424,96,49,13125,47248,7408,159,157,22,5013,490,517,180,228,932,0,122,141,29,21,18,4,2178,33,0,0,34,272,true,dense-arrangement,dense-arrangement,1,0,2016,64,392,392,32,true,true,true,true,true,8448,0,64,0,0,0,0,0,0,34,0,8960,0,32,0,32,0,0,0,0,0,28472,28472,28472,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":28472,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":7408,""polygon_prepared_context"":28472,""polygon_sparse_subdivision"":47248}","{""polygon_arrangement"":0,""polygon_cut_index"":7408,""polygon_prepared_context"":28472,""polygon_sparse_subdivision"":47248}",verified,
v1.3-A,range-dense-intersection-sparse,128,2052,0,1024,131072,1020,131072,1020,0,510,4,0,260,260,67600,2056,5140,1028,515,746721,591872,107392,1660,1753,250,921230,24385,16422,2566,3080,202248,0,1853,1703,579,279,247,164,265734,259,0,0,208,2080,true,dense-arrangement,dense-arrangement,33,0,523776,131072,6152,6152,1020,true,true,true,true,true,268959744,0,131072,0,0,0,0,0,0,6,0,7140,0,4,0,4,0,0,0,0,0,405352,405352,405352,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":405352,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":107392,""polygon_prepared_context"":405352,""polygon_sparse_subdivision"":591872}","{""polygon_arrangement"":0,""polygon_cut_index"":107392,""polygon_prepared_context"":405352,""polygon_sparse_subdivision"":591872}",verified,
v1.3-B,intersection-dense,128,2052,0,1024,1024,512,1024,512,0,256,512,0,514,514,264196,2564,6664,1536,769,2912325,744208,146032,4786,2363,375,14898587,13936,14432,2820,3588,137732,0,2401,2349,2370,1114,347,830,526338,513,0,0,514,4112,true,sparse-subdivision,sparse-subdivision,0,0,523776,1024,6152,6152,512,true,true,true,true,true,2101248,0,1024,0,0,0,0,0,0,514,0,33751040,0,512,0,512,0,0,0,0,0,501304,501304,501304,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":501304,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":146032,""polygon_prepared_context"":501304,""polygon_sparse_subdivision"":744208}","{""polygon_arrangement"":0,""polygon_cut_index"":146032,""polygon_prepared_context"":501304,""polygon_sparse_subdivision"":744208}",verified,
v1.3-C,validator-active-heavy,128,516,128,512,65536,254,65536,254,254,0,4,0,258,4,1032,520,1556,516,131,12925,188320,33880,280,483,49,37228,6464,2686,774,1032,1544,0,461,466,53,108,48,4,66306,257,0,0,175,2072,true,dense-arrangement,dense-arrangement,4,0,130816,65536,2056,2056,254,true,true,true,true,true,33816576,0,65536,0,0,0,0,0,0,6,0,0,0,4,0,4,0,0,0,0,0,112424,112424,112424,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":112424,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":33880,""polygon_prepared_context"":112424,""polygon_sparse_subdivision"":188320}","{""polygon_arrangement"":0,""polygon_cut_index"":33880,""polygon_prepared_context"":112424,""polygon_sparse_subdivision"":188320}",verified,
v1.3-D,validator-boundary-heavy,128,1540,0,768,384,0,384,1,0,0,768,0,770,386,297220,2308,6152,1536,769,3276357,688944,141944,5660,2185,316,10791088,9121,9312,2308,3076,150916,0,2271,2051,3511,1128,287,823,592130,769,0,0,966,7704,true,sparse-subdivision,sparse-subdivision,0,0,294528,384,4616,4616,0,true,true,true,true,true,591360,0,384,0,0,0,0,0,0,770,0,0,0,768,0,768,0,0,0,0,0,479896,479896,479896,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":479896,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":141944,""polygon_prepared_context"":479896,""polygon_sparse_subdivision"":688944}","{""polygon_arrangement"":0,""polygon_cut_index"":141944,""polygon_prepared_context"":479896,""polygon_sparse_subdivision"":688944}",verified,
v1.3-E,sparse-tree-node-heavy,128,1028,256,1024,2044,255,2044,255,255,0,514,0,514,259,133126,1542,4622,1538,514,1469025,527720,131704,3834,1625,219,5896504,8604,8857,1797,2566,134150,0,1745,1559,879,1610,219,310,263682,513,0,0,838,5344,true,dense-arrangement,dense-arrangement,8,1696,523776,2044,4104,4104,255,true,true,true,true,true,2101232,0,2044,0,0,0,0,0,0,516,0,0,0,514,0,514,0,0,0,0,0,235504,235504,235504,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":235504,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":131704,""polygon_prepared_context"":235504,""polygon_sparse_subdivision"":527720}","{""polygon_arrangement"":0,""polygon_cut_index"":131704,""polygon_prepared_context"":235504,""polygon_sparse_subdivision"":527720}",verified,
v1.3-F,dense-sparse-crossover,128,1028,0,512,256,0,256,1,0,0,512,0,514,258,132612,1540,4104,1024,513,1463365,475952,89864,3269,1378,184,3251982,5462,5680,1540,2052,67844,0,1443,1399,1400,596,189,315,263682,513,0,0,668,5144,true,sparse-subdivision,sparse-subdivision,0,0,130816,256,3080,3080,0,true,true,true,true,true,263168,0,256,0,0,0,0,0,0,514,0,0,0,512,0,512,0,0,0,0,0,315128,315128,315128,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":315128,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":89864,""polygon_prepared_context"":315128,""polygon_sparse_subdivision"":475952}","{""polygon_arrangement"":0,""polygon_cut_index"":89864,""polygon_prepared_context"":315128,""polygon_sparse_subdivision"":475952}",verified,
