family,family_name,size,boundary_complexity,hole_count,reflex_count,aligned_candidate_count,chord_count,candidate_output_ratio_numerator,candidate_output_ratio_denominator,selected_horizontal_cut_count,selected_vertical_cut_count,added_horizontal_cut_count,added_vertical_cut_count,coordinate_x_count,coordinate_y_count,coordinate_cartesian_product,sparse_subdivision_vertices,sparse_subdivision_half_edges,sparse_subdivision_junctions,sparse_subdivision_interior_faces,dense_owned_bytes_estimate,sparse_owned_bytes_estimate,cut_index_owned_bytes_estimate,completion_microseconds,recovery_microseconds,validation_microseconds,reference_microseconds,indexed_microseconds,sweep_microseconds,subdivision_input_segment_count,subdivision_reported_intersections,reference_subdivision_candidate_pair_tests,sweep_subdivision_candidate_pair_tests,reference_subdivision_recovery_microseconds,sweep_subdivision_recovery_microseconds,dense_recovery_microseconds,reference_validator_microseconds,event_validator_microseconds,dense_validator_microseconds,reference_validator_boundary_edge_scans,reference_validator_active_rectangle_resorts,event_validator_boundary_edge_scans,event_validator_active_rectangle_resorts,sparse_materialized_tree_nodes,sparse_logical_tree_nodes,geometry_backends_equal,auto_selected_backend,actual_fastest_recovery_backend,auto_time_regret_microseconds,auto_memory_regret_bytes,reference_pair_iterations,indexed_pair_iterations,sweep_event_count,sweep_status_operations,sweep_output_record_count,chord_families_equal,optimum_equal,cuts_equal,rectangles_equal,three_backend_equal,reference_boundary_edge_visits,indexed_boundary_edge_visits,reference_definition7_full_boundary_scans,indexed_definition7_full_boundary_scans,sweep_aligned_pair_iterations,sweep_all_pair_iterations,sweep_definition7_fallback_checks,sweep_full_boundary_scans,sweep_duplicate_output_count,reference_completion_candidate_rebuilds,indexed_completion_candidate_rebuilds,reference_completion_cut_pair_tests,indexed_completion_cut_pair_tests,reference_completion_full_boundary_scans,indexed_completion_full_boundary_scans,reference_completion_full_cut_scans,indexed_completion_full_cut_scans,reference_arrangement_boundary_edge_visits,indexed_arrangement_boundary_edge_visits,reference_validator_rectangle_cell_tests,indexed_validator_rectangle_cell_tests,reference_prepare_owned_bytes,indexed_prepare_owned_bytes,sweep_prepare_owned_bytes,reference_owned_allocations,indexed_owned_allocations,sweep_owned_allocations,status,message
A,staircase-sparse,16,68,0,32,16,0,16,1,0,0,32,0,34,18,612,100,264,64,33,7045,30512,5208,126,145,14,2005,367,332,100,132,404,0,93,106,24,19,11,3,1122,33,0,0,42,344,true,dense-arrangement,dense-arrangement,0,0,496,16,200,200,0,true,true,true,true,true,1088,0,16,0,0,0,0,0,0,34,0,0,0,32,0,32,0,0,0,0,0,16760,16760,16760,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":16760,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":5208,""polygon_prepared_context"":16760,""polygon_sparse_subdivision"":30512}","{""polygon_arrangement"":0,""polygon_cut_index"":5208,""polygon_prepared_context"":16760,""polygon_sparse_subdivision"":30512}",verified,
B,many-coordinates-few-faces,16,132,0,64,32,0,32,1,0,0,64,0,66,34,2244,196,520,128,65,25285,60208,10520,255,212,23,9142,592,589,196,260,1316,0,164,181,52,35,21,8,4290,65,0,0,83,664,true,dense-arrangement,dense-arrangement,0,0,2016,32,392,392,0,true,true,true,true,true,4224,0,32,0,0,0,0,0,0,66,0,0,0,64,0,64,0,0,0,0,0,34424,34424,34424,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":34424,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":10520,""polygon_prepared_context"":34424,""polygon_sparse_subdivision"":60208}","{""polygon_arrangement"":0,""polygon_cut_index"":10520,""polygon_prepared_context"":34424,""polygon_sparse_subdivision"":60208}",verified,
C,hole-coordinate-cross-product,16,68,16,64,1024,30,1024,30,30,0,4,0,34,4,136,72,212,68,19,1725,25248,4504,41,75,8,584,267,240,102,136,200,0,56,61,9,13,6,0,1122,33,0,0,24,280,true,dense-arrangement,dense-arrangement,0,0,2016,1024,264,264,30,true,true,true,true,true,69632,0,1024,0,0,0,0,0,0,6,0,0,0,4,0,4,0,0,0,0,0,14760,14760,14760,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":14760,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":4504,""polygon_prepared_context"":14760,""polygon_sparse_subdivision"":25248}","{""polygon_arrangement"":0,""polygon_cut_index"":4504,""polygon_prepared_context"":14760,""polygon_sparse_subdivision"":25248}",verified,
D,completion-heavy,16,260,0,128,128,64,128,64,0,32,64,0,66,66,4356,324,840,192,97,48709,93712,15536,352,328,48,34345,1112,1077,356,452,2884,0,265,281,73,47,40,16,8450,65,0,0,66,528,true,dense-arrangement,dense-arrangement,61,0,8128,128,776,776,64,true,true,true,true,true,33280,0,128,0,0,0,0,0,0,66,0,68608,0,64,0,64,0,0,0,0,0,57720,57720,57720,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":57720,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":15536,""polygon_prepared_context"":57720,""polygon_sparse_subdivision"":93712}","{""polygon_arrangement"":0,""polygon_cut_index"":15536,""polygon_prepared_context"":57720,""polygon_sparse_subdivision"":93712}",verified,
E,sparse-path-tree,16,260,0,128,128,64,128,64,0,32,64,0,66,66,4356,324,840,192,97,48709,93712,15536,362,313,42,34027,1066,1074,356,452,2884,0,264,283,72,47,39,20,8450,65,0,0,66,528,true,dense-arrangement,dense-arrangement,0,0,8128,128,776,776,64,true,true,true,true,true,33280,0,128,0,0,0,0,0,0,66,0,68608,0,64,0,64,0,0,0,0,0,57720,57720,57720,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":57720,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":15536,""polygon_prepared_context"":57720,""polygon_sparse_subdivision"":93712}","{""polygon_arrangement"":0,""polygon_cut_index"":15536,""polygon_prepared_context"":57720,""polygon_sparse_subdivision"":93712}",verified,
F,4d-fallback-sparse,16,68,16,64,124,15,124,15,15,0,34,0,34,19,646,102,302,98,34,7425,34280,7352,111,108,12,2249,318,312,117,166,710,0,81,91,16,16,10,2,1122,33,0,0,52,352,true,dense-arrangement,dense-arrangement,0,0,2016,124,264,264,15,true,true,true,true,true,8432,0,124,0,0,0,0,0,0,36,0,0,0,34,0,34,0,0,0,0,0,15536,15536,15536,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":15536,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":7352,""polygon_prepared_context"":15536,""polygon_sparse_subdivision"":34280}","{""polygon_arrangement"":0,""polygon_cut_index"":7352,""polygon_prepared_context"":15536,""polygon_sparse_subdivision"":34280}",verified,
G,aligned-reflex-heavy,16,260,0,128,2048,124,2048,124,0,62,4,0,36,36,1296,264,660,132,67,14689,75776,10944,165,231,29,5206,1026,1061,326,392,3784,0,196,232,29,20,27,4,4550,35,0,0,34,288,true,dense-arrangement,dense-arrangement,0,0,8128,2048,776,776,124,true,true,true,true,true,532480,0,2048,0,0,0,0,0,0,6,0,868,0,4,0,4,0,0,0,0,0,51432,51432,51432,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":51432,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":10944,""polygon_prepared_context"":51432,""polygon_sparse_subdivision"":75776}","{""polygon_arrangement"":0,""polygon_cut_index"":10944,""polygon_prepared_context"":51432,""polygon_sparse_subdivision"":75776}",verified,
H,huge-coordinate,16,132,0,64,64,32,64,32,0,16,32,0,34,34,1156,164,424,96,49,13125,47248,7408,159,154,20,5003,480,487,180,228,932,0,121,134,28,20,17,4,2178,33,0,0,34,272,true,dense-arrangement,dense-arrangement,0,0,2016,64,392,392,32,true,true,true,true,true,8448,0,64,0,0,0,0,0,0,34,0,8960,0,32,0,32,0,0,0,0,0,28472,28472,28472,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":28472,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":7408,""polygon_prepared_context"":28472,""polygon_sparse_subdivision"":47248}","{""polygon_arrangement"":0,""polygon_cut_index"":7408,""polygon_prepared_context"":28472,""polygon_sparse_subdivision"":47248}",verified,
v1.3-A,range-dense-intersection-sparse,16,260,0,128,2048,124,2048,124,0,62,4,0,36,36,1296,264,660,132,67,14689,75776,10944,165,222,28,5170,987,1147,326,392,3784,0,208,232,30,20,32,4,4550,35,0,0,34,288,true,dense-arrangement,dense-arrangement,0,0,8128,2048,776,776,124,true,true,true,true,true,532480,0,2048,0,0,0,0,0,0,6,0,868,0,4,0,4,0,0,0,0,0,51432,51432,51432,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":51432,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":10944,""polygon_prepared_context"":51432,""polygon_sparse_subdivision"":75776}","{""polygon_arrangement"":0,""polygon_cut_index"":10944,""polygon_prepared_context"":51432,""polygon_sparse_subdivision"":75776}",verified,
v1.3-B,intersection-dense,16,260,0,128,128,64,128,64,0,32,64,0,66,66,4356,324,840,192,97,48709,93712,15536,323,285,41,33953,942,999,356,452,2884,0,252,268,70,45,38,16,8450,65,0,0,66,528,true,dense-arrangement,dense-arrangement,0,0,8128,128,776,776,64,true,true,true,true,true,33280,0,128,0,0,0,0,0,0,66,0,68608,0,64,0,64,0,0,0,0,0,57720,57720,57720,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":57720,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":15536,""polygon_prepared_context"":57720,""polygon_sparse_subdivision"":93712}","{""polygon_arrangement"":0,""polygon_cut_index"":15536,""polygon_prepared_context"":57720,""polygon_sparse_subdivision"":93712}",verified,
v1.3-C,validator-active-heavy,16,68,16,64,1024,30,1024,30,30,0,4,0,34,4,136,72,212,68,19,1725,25248,4504,38,68,7,554,243,217,102,136,200,0,50,55,9,11,6,0,1122,33,0,0,24,280,true,dense-arrangement,dense-arrangement,0,0,2016,1024,264,264,30,true,true,true,true,true,69632,0,1024,0,0,0,0,0,0,6,0,0,0,4,0,4,0,0,0,0,0,14760,14760,14760,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":14760,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":4504,""polygon_prepared_context"":14760,""polygon_sparse_subdivision"":25248}","{""polygon_arrangement"":0,""polygon_cut_index"":4504,""polygon_prepared_context"":14760,""polygon_sparse_subdivision"":25248}",verified,
v1.3-D,validator-boundary-heavy,16,196,0,96,48,0,48,1,0,0,96,0,98,50,4900,292,776,192,97,54789,86832,17304,371,265,32,25152,796,825,292,388,2740,0,232,248,77,50,31,18,9506,97,0,0,132,984,true,dense-arrangement,dense-arrangement,0,0,4560,48,584,584,0,true,true,true,true,true,9408,0,48,0,0,0,0,0,0,98,0,0,0,96,0,96,0,0,0,0,0,51864,51864,51864,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":51864,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":17304,""polygon_prepared_context"":51864,""polygon_sparse_subdivision"":86832}","{""polygon_arrangement"":0,""polygon_cut_index"":17304,""polygon_prepared_context"":51864,""polygon_sparse_subdivision"":86832}",verified,
v1.3-E,sparse-tree-node-heavy,16,132,32,128,252,31,252,31,31,0,66,0,66,35,2310,198,590,194,66,26017,67176,15432,242,201,24,14163,643,659,229,326,2438,0,172,187,37,43,22,6,4290,65,0,0,111,688,true,dense-arrangement,dense-arrangement,0,0,8128,252,520,520,31,true,true,true,true,true,33264,0,252,0,0,0,0,0,0,68,0,0,0,66,0,66,0,0,0,0,0,30224,30224,30224,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":30224,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":15432,""polygon_prepared_context"":30224,""polygon_sparse_subdivision"":67176}","{""polygon_arrangement"":0,""polygon_cut_index"":15432,""polygon_prepared_context"":30224,""polygon_sparse_subdivision"":67176}",verified,
v1.3-F,dense-sparse-crossover,16,132,0,64,32,0,32,1,0,0,64,0,66,34,2244,196,520,128,65,25285,60208,10520,231,172,20,8140,504,517,196,260,1316,0,141,154,41,29,18,7,4290,65,0,0,83,664,true,dense-arrangement,dense-arrangement,5,0,2016,32,392,392,0,true,true,true,true,true,4224,0,32,0,0,0,0,0,0,66,0,0,0,64,0,64,0,0,0,0,0,34424,34424,34424,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":34424,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":10520,""polygon_prepared_context"":34424,""polygon_sparse_subdivision"":60208}","{""polygon_arrangement"":0,""polygon_cut_index"":10520,""polygon_prepared_context"":34424,""polygon_sparse_subdivision"":60208}",verified,
A,staircase-sparse,32,132,0,64,32,0,32,1,0,0,64,0,66,34,2244,196,520,128,65,25285,60208,10520,230,175,20,8110,507,522,196,260,1316,0,144,158,40,30,18,7,4290,65,0,0,83,664,true,dense-arrangement,dense-arrangement,0,0,2016,32,392,392,0,true,true,true,true,true,4224,0,32,0,0,0,0,0,0,66,0,0,0,64,0,64,0,0,0,0,0,34424,34424,34424,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":34424,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":10520,""polygon_prepared_context"":34424,""polygon_sparse_subdivision"":60208}","{""polygon_arrangement"":0,""polygon_cut_index"":10520,""polygon_prepared_context"":34424,""polygon_sparse_subdivision"":60208}",verified,
B,many-coordinates-few-faces,32,260,0,128,64,0,64,1,0,0,128,0,130,66,8580,388,1032,256,129,95557,119600,21560,541,357,43,56699,1100,1157,388,516,4676,0,314,338,133,71,41,32,16770,129,0,0,168,1304,true,dense-arrangement,dense-arrangement,0,0,8128,64,776,776,0,true,true,true,true,true,16640,0,64,0,0,0,0,0,0,130,0,0,0,128,0,128,0,0,0,0,0,71672,71672,71672,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":71672,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":21560,""polygon_prepared_context"":71672,""polygon_sparse_subdivision"":119600}","{""polygon_arrangement"":0,""polygon_cut_index"":21560,""polygon_prepared_context"":71672,""polygon_sparse_subdivision"":119600}",verified,
C,hole-coordinate-cross-product,32,132,32,128,4096,62,4096,62,62,0,4,0,66,4,264,136,404,132,35,3325,48544,8664,68,125,12,1928,573,458,198,264,392,0,103,114,14,20,11,1,4290,65,0,0,45,536,true,dense-arrangement,dense-arrangement,0,0,8128,4096,520,520,62,true,true,true,true,true,540672,0,4096,0,0,0,0,0,0,6,0,0,0,4,0,4,0,0,0,0,0,28712,28712,28712,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":28712,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":8664,""polygon_prepared_context"":28712,""polygon_sparse_subdivision"":48544}","{""polygon_arrangement"":0,""polygon_cut_index"":8664,""polygon_prepared_context"":28712,""polygon_sparse_subdivision"":48544}",verified,
D,completion-heavy,32,516,0,256,256,128,256,128,0,64,128,0,130,130,16900,644,1672,384,193,187461,186640,32752,797,723,93,252092,2421,2353,708,900,9860,0,563,563,194,117,83,62,33282,129,0,0,130,1040,true,dense-arrangement,dense-arrangement,0,0,32640,256,1544,1544,128,true,true,true,true,true,132096,0,256,0,0,0,0,0,0,130,0,536576,0,128,0,128,0,0,0,0,0,118200,118200,118200,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":118200,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":32752,""polygon_prepared_context"":118200,""polygon_sparse_subdivision"":186640}","{""polygon_arrangement"":0,""polygon_cut_index"":32752,""polygon_prepared_context"":118200,""polygon_sparse_subdivision"":186640}",verified,
E,sparse-path-tree,32,516,0,256,256,128,256,128,0,64,128,0,130,130,16900,644,1672,384,193,187461,186640,32752,788,586,91,249550,2247,2357,708,900,9860,0,561,561,193,127,83,46,33282,129,0,0,130,1040,true,dense-arrangement,dense-arrangement,12,0,32640,256,1544,1544,128,true,true,true,true,true,132096,0,256,0,0,0,0,0,0,130,0,536576,0,128,0,128,0,0,0,0,0,118200,118200,118200,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":118200,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":32752,""polygon_prepared_context"":118200,""polygon_sparse_subdivision"":186640}","{""polygon_arrangement"":0,""polygon_cut_index"":32752,""polygon_prepared_context"":118200,""polygon_sparse_subdivision"":186640}",verified,
F,4d-fallback-sparse,32,132,32,128,252,31,252,31,31,0,66,0,66,35,2310,198,590,194,66,26017,67176,15432,242,203,25,14172,652,665,229,326,2438,0,186,186,37,44,22,6,4290,65,0,0,111,688,true,dense-arrangement,dense-arrangement,0,0,8128,252,520,520,31,true,true,true,true,true,33264,0,252,0,0,0,0,0,0,68,0,0,0,66,0,66,0,0,0,0,0,30224,30224,30224,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":30224,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":15432,""polygon_prepared_context"":30224,""polygon_sparse_subdivision"":67176}","{""polygon_arrangement"":0,""polygon_cut_index"":15432,""polygon_prepared_context"":30224,""polygon_sparse_subdivision"":67176}",verified,
G,aligned-reflex-heavy,32,516,0,256,8192,252,8192,252,0,126,4,0,68,68,4624,520,1300,260,131,51681,149504,23296,346,442,59,24969,2490,2324,646,776,13704,0,426,452,66,41,55,15,17286,67,0,0,60,544,true,dense-arrangement,dense-arrangement,0,0,32640,8192,1544,1544,252,true,true,true,true,true,4227072,0,8192,0,0,0,0,0,0,6,0,1764,0,4,0,4,0,0,0,0,0,101992,101992,101992,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":101992,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":23296,""polygon_prepared_context"":101992,""polygon_sparse_subdivision"":149504}","{""polygon_arrangement"":0,""polygon_cut_index"":23296,""polygon_prepared_context"":101992,""polygon_sparse_subdivision"":149504}",verified,
H,huge-coordinate,32,132,0,64,64,32,64,32,0,16,32,0,34,34,1156,164,424,96,49,13125,47248,7408,164,162,21,4984,494,496,180,228,932,0,121,134,28,20,18,4,2178,33,0,0,34,272,true,dense-arrangement,dense-arrangement,0,0,2016,64,392,392,32,true,true,true,true,true,8448,0,64,0,0,0,0,0,0,34,0,8960,0,32,0,32,0,0,0,0,0,28472,28472,28472,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":28472,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":7408,""polygon_prepared_context"":28472,""polygon_sparse_subdivision"":47248}","{""polygon_arrangement"":0,""polygon_cut_index"":7408,""polygon_prepared_context"":28472,""polygon_sparse_subdivision"":47248}",verified,
v1.3-A,range-dense-intersection-sparse,32,516,0,256,8192,252,8192,252,0,126,4,0,68,68,4624,520,1300,260,131,51681,149504,23296,347,443,57,24995,2519,2291,646,776,13704,0,405,423,66,42,54,15,17286,67,0,0,60,544,true,dense-arrangement,dense-arrangement,7,0,32640,8192,1544,1544,252,true,true,true,true,true,4227072,0,8192,0,0,0,0,0,0,6,0,1764,0,4,0,4,0,0,0,0,0,101992,101992,101992,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":101992,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":23296,""polygon_prepared_context"":101992,""polygon_sparse_subdivision"":149504}","{""polygon_arrangement"":0,""polygon_cut_index"":23296,""polygon_prepared_context"":101992,""polygon_sparse_subdivision"":149504}",verified,
v1.3-B,intersection-dense,32,516,0,256,256,128,256,128,0,64,128,0,130,130,16900,644,1672,384,193,187461,186640,32752,799,592,86,250318,2280,2377,708,900,9860,0,555,560,197,121,83,46,33282,129,0,0,130,1040,true,dense-arrangement,dense-arrangement,0,0,32640,256,1544,1544,128,true,true,true,true,true,132096,0,256,0,0,0,0,0,0,130,0,536576,0,128,0,128,0,0,0,0,0,118200,118200,118200,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":118200,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":32752,""polygon_prepared_context"":118200,""polygon_sparse_subdivision"":186640}","{""polygon_arrangement"":0,""polygon_cut_index"":32752,""polygon_prepared_context"":118200,""polygon_sparse_subdivision"":186640}",verified,
v1.3-C,validator-active-heavy,32,132,32,128,4096,62,4096,62,62,0,4,0,66,4,264,136,404,132,35,3325,48544,8664,68,127,13,1971,573,458,198,264,392,0,104,114,14,20,11,1,4290,65,0,0,45,536,true,dense-arrangement,dense-arrangement,0,0,8128,4096,520,520,62,true,true,true,true,true,540672,0,4096,0,0,0,0,0,0,6,0,0,0,4,0,4,0,0,0,0,0,28712,28712,28712,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":28712,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":8664,""polygon_prepared_context"":28712,""polygon_sparse_subdivision"":48544}","{""polygon_arrangement"":0,""polygon_cut_index"":8664,""polygon_prepared_context"":28712,""polygon_sparse_subdivision"":48544}",verified,
v1.3-D,validator-boundary-heavy,32,388,0,192,96,0,96,1,0,0,192,0,194,98,19012,580,1544,384,193,210885,172848,34440,909,544,68,182889,1774,1789,580,772,10084,0,503,508,240,134,63,52,37442,193,0,0,250,1944,true,dense-arrangement,dense-arrangement,0,0,18336,96,1160,1160,0,true,true,true,true,true,37248,0,96,0,0,0,0,0,0,194,0,0,0,192,0,192,0,0,0,0,0,108696,108696,108696,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":108696,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":34440,""polygon_prepared_context"":108696,""polygon_sparse_subdivision"":172848}","{""polygon_arrangement"":0,""polygon_cut_index"":34440,""polygon_prepared_context"":108696,""polygon_sparse_subdivision"":172848}",verified,
v1.3-E,sparse-tree-node-heavy,32,260,64,256,508,63,508,63,63,0,130,0,130,67,8710,390,1166,386,130,96993,132968,31888,572,400,51,100272,1438,1469,453,646,8966,0,372,375,95,128,49,25,16770,129,0,0,225,1352,true,dense-arrangement,dense-arrangement,0,0,32640,508,1032,1032,63,true,true,true,true,true,132080,0,508,0,0,0,0,0,0,132,0,0,0,130,0,130,0,0,0,0,0,59568,59568,59568,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":59568,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":31888,""polygon_prepared_context"":59568,""polygon_sparse_subdivision"":132968}","{""polygon_arrangement"":0,""polygon_cut_index"":31888,""polygon_prepared_context"":59568,""polygon_sparse_subdivision"":132968}",verified,
v1.3-F,dense-sparse-crossover,32,260,0,128,64,0,64,1,0,0,128,0,130,66,8580,388,1032,256,129,95557,119600,21560,552,354,43,56762,1118,1152,388,516,4676,0,316,328,123,72,45,33,16770,129,0,0,168,1304,true,dense-arrangement,dense-arrangement,0,0,8128,64,776,776,0,true,true,true,true,true,16640,0,64,0,0,0,0,0,0,130,0,0,0,128,0,128,0,0,0,0,0,71672,71672,71672,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":71672,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":21560,""polygon_prepared_context"":71672,""polygon_sparse_subdivision"":119600}","{""polygon_arrangement"":0,""polygon_cut_index"":21560,""polygon_prepared_context"":71672,""polygon_sparse_subdivision"":119600}",verified,
A,staircase-sparse,64,260,0,128,64,0,64,1,0,0,128,0,130,66,8580,388,1032,256,129,95557,119600,21560,543,350,43,56520,1093,1136,388,516,4676,0,324,327,123,70,41,32,16770,129,0,0,168,1304,true,dense-arrangement,dense-arrangement,0,0,8128,64,776,776,0,true,true,true,true,true,16640,0,64,0,0,0,0,0,0,130,0,0,0,128,0,128,0,0,0,0,0,71672,71672,71672,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":71672,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":21560,""polygon_prepared_context"":71672,""polygon_sparse_subdivision"":119600}","{""polygon_arrangement"":0,""polygon_cut_index"":21560,""polygon_prepared_context"":71672,""polygon_sparse_subdivision"":119600}",verified,
B,many-coordinates-few-faces,64,516,0,256,128,0,128,1,0,0,256,0,258,130,33540,772,2056,512,257,371269,238384,43896,1303,736,108,420944,2470,2508,772,1028,17540,0,685,671,401,194,87,80,66306,257,0,0,333,2584,true,dense-arrangement,dense-arrangement,0,0,32640,128,1544,1544,0,true,true,true,true,true,66048,0,128,0,0,0,0,0,0,258,0,0,0,256,0,256,0,0,0,0,0,150136,150136,150136,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":150136,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":43896,""polygon_prepared_context"":150136,""polygon_sparse_subdivision"":238384}","{""polygon_arrangement"":0,""polygon_cut_index"":43896,""polygon_prepared_context"":150136,""polygon_sparse_subdivision"":238384}",verified,
C,hole-coordinate-cross-product,64,260,64,256,16384,126,16384,126,126,0,4,0,130,4,520,264,788,260,67,6525,95136,17664,132,243,25,8035,1710,1049,390,520,776,0,219,230,25,45,23,2,16770,129,0,0,98,1040,true,dense-arrangement,dense-arrangement,0,0,32640,16384,1032,1032,126,true,true,true,true,true,4259840,0,16384,0,0,0,0,0,0,6,0,0,0,4,0,4,0,0,0,0,0,56616,56616,56616,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":56616,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":17664,""polygon_prepared_context"":56616,""polygon_sparse_subdivision"":95136}","{""polygon_arrangement"":0,""polygon_cut_index"":17664,""polygon_prepared_context"":56616,""polygon_sparse_subdivision"":95136}",verified,
