K,K_over_M,M,aggregate_median_ratio,aggregate_median_ratio_ci95,algorithm,classification,dominant_phase,dominant_phase_median_ns,dominant_phase_share,elapsed_ns,excluded_target_sizes,explicit_algorithm,family,fit_target_sizes,fixed_process_cost_masked_kernel_difference,geometric_mean_ratio,independent_variable,median_ratio_ci95,ols_slope,ols_slope_ci95,p15_fresh_process_ratio,phase_medians_ns,q,r_squared,ratios,record_type,scope,scope_a_ratio,scope_b_ratio,sizes,stable_crossover_target_size,state,status,target_size,theil_sen_slope,valid_size_levels,warmup_converged,warmup_count
,,,,,explicit-hopcroft-karp,,,,,"{""coefficient_of_variation"":0.03420775802769611,""mad"":1500.0,""max"":291958.0,""median"":200500.0,""min"":197458.0,""n"":2344,""q1"":199209.0,""q3"":202875.0}",,,representation-crossover,,,,,,,,,,,,,distributions,representation-and-solver-kernel,,,"{""biclique_count"":1,""biclique_total_vertex_occurrences_sigma"":184,""boundary_size_b"":740,""component_count"":1,""compressed_network_arc_count"":368,""compressed_network_node_count"":187,""compressed_size_m"":555,""explicit_conflict_edge_count_k"":8464,""foreground_cells_n"":104156,""height"":336,""horizontal_chord_count_h"":92,""optimum_rectangle_count"":277,""q"":184,""reflex_count"":368,""vertical_chord_count_v"":92,""width"":336}",,complete,,2048,,,True,5
,,,,,compact-mrd,,,,,"{""coefficient_of_variation"":0.005878381082286987,""mad"":57250.0,""max"":27746667.0,""median"":27303709.0,""min"":26972709.0,""n"":18,""q1"":27188635.5,""q3"":27333614.75}",,,representation-crossover,,,,,,,,,,,,,distributions,solve-from-canonical-instance,,,"{""biclique_count"":1,""biclique_total_vertex_occurrences_sigma"":184,""boundary_size_b"":740,""component_count"":1,""compressed_network_arc_count"":368,""compressed_network_node_count"":187,""compressed_size_m"":555,""explicit_conflict_edge_count_k"":8464,""foreground_cells_n"":104156,""height"":336,""horizontal_chord_count_h"":92,""optimum_rectangle_count"":277,""q"":184,""reflex_count"":368,""vertical_chord_count_v"":92,""width"":336}",,complete,,2048,,,True,5
,,,,,explicit-c0-flow,,,,,"{""coefficient_of_variation"":0.004475450630603766,""mad"":100563.0,""max"":31069791.0,""median"":30821896.0,""min"":30625833.0,""n"":16,""q1"":30726583.25,""q3"":30961229.5}",,,representation-crossover,,,,,,,,,,,,,distributions,solve-from-canonical-instance,,,"{""biclique_count"":1,""biclique_total_vertex_occurrences_sigma"":184,""boundary_size_b"":740,""component_count"":1,""compressed_network_arc_count"":368,""compressed_network_node_count"":187,""compressed_size_m"":555,""explicit_conflict_edge_count_k"":8464,""foreground_cells_n"":104156,""height"":336,""horizontal_chord_count_h"":92,""optimum_rectangle_count"":277,""q"":184,""reflex_count"":368,""vertical_chord_count_v"":92,""width"":336}",,complete,,2048,,,True,5
,,,,,explicit-hopcroft-karp,,,,,"{""coefficient_of_variation"":0.005870950493305289,""mad"":129645.5,""max"":27778709.0,""median"":27362562.5,""min"":27203583.0,""n"":18,""q1"":27241884.75,""q3"":27494396.0}",,,representation-crossover,,,,,,,,,,,,,distributions,solve-from-canonical-instance,,,"{""biclique_count"":1,""biclique_total_vertex_occurrences_sigma"":184,""boundary_size_b"":740,""component_count"":1,""compressed_network_arc_count"":368,""compressed_network_node_count"":187,""compressed_size_m"":555,""explicit_conflict_edge_count_k"":8464,""foreground_cells_n"":104156,""height"":336,""horizontal_chord_count_h"":92,""optimum_rectangle_count"":277,""q"":184,""reflex_count"":368,""vertical_chord_count_v"":92,""width"":336}",,complete,,2048,,,True,5
,,,,,compact-mrd,,,,,"{""coefficient_of_variation"":0.08377839497832067,""mad"":333.0,""max"":165250.0,""median"":51000.0,""min"":49792.0,""n"":6861,""q1"":50708.0,""q3"":51375.0}",,,representation-crossover,,,,,,,,,,,,,distributions,representation-and-solver-kernel,,,"{""biclique_count"":1,""biclique_total_vertex_occurrences_sigma"":256,""boundary_size_b"":1028,""component_count"":1,""compressed_network_arc_count"":512,""compressed_network_node_count"":259,""compressed_size_m"":771,""explicit_conflict_edge_count_k"":16384,""foreground_cells_n"":196676,""height"":462,""horizontal_chord_count_h"":128,""optimum_rectangle_count"":385,""q"":256,""reflex_count"":512,""vertical_chord_count_v"":128,""width"":462}",,complete,,4096,,,True,6
,,,,,explicit-c0-flow,,,,,"{""coefficient_of_variation"":0.03361578698198478,""mad"":126312.0,""max"":8861166.0,""median"":7619291.5,""min"":7340750.0,""n"":68,""q1"":7495760.75,""q3"":7749593.5}",,,representation-crossover,,,,,,,,,,,,,distributions,representation-and-solver-kernel,,,"{""biclique_count"":1,""biclique_total_vertex_occurrences_sigma"":256,""boundary_size_b"":1028,""component_count"":1,""compressed_network_arc_count"":512,""compressed_network_node_count"":259,""compressed_size_m"":771,""explicit_conflict_edge_count_k"":16384,""foreground_cells_n"":196676,""height"":462,""horizontal_chord_count_h"":128,""optimum_rectangle_count"":385,""q"":256,""reflex_count"":512,""vertical_chord_count_v"":128,""width"":462}",,complete,,4096,,,True,5
,,,,,explicit-hopcroft-karp,,,,,"{""coefficient_of_variation"":0.03398905319012682,""mad"":3500.0,""max"":734333.0,""median"":524250.0,""min"":518500.0,""n"":936,""q1"":521208.0,""q3"":530917.0}",,,representation-crossover,,,,,,,,,,,,,distributions,representation-and-solver-kernel,,,"{""biclique_count"":1,""biclique_total_vertex_occurrences_sigma"":256,""boundary_size_b"":1028,""component_count"":1,""compressed_network_arc_count"":512,""compressed_network_node_count"":259,""compressed_size_m"":771,""explicit_conflict_edge_count_k"":16384,""foreground_cells_n"":196676,""height"":462,""horizontal_chord_count_h"":128,""optimum_rectangle_count"":385,""q"":256,""reflex_count"":512,""vertical_chord_count_v"":128,""width"":462}",,complete,,4096,,,True,8
,,,,,compact-mrd,,,,,"{""coefficient_of_variation"":0.1763515123809517,""mad"":2730334.0,""max"":86675167.0,""median"":55191000.0,""min"":51945208.0,""n"":15,""q1"":52570979.0,""q3"":59440875.0}",,,representation-crossover,,,,,,,,,,,,,distributions,solve-from-canonical-instance,,,"{""biclique_count"":1,""biclique_total_vertex_occurrences_sigma"":256,""boundary_size_b"":1028,""component_count"":1,""compressed_network_arc_count"":512,""compressed_network_node_count"":259,""compressed_size_m"":771,""explicit_conflict_edge_count_k"":16384,""foreground_cells_n"":196676,""height"":462,""horizontal_chord_count_h"":128,""optimum_rectangle_count"":385,""q"":256,""reflex_count"":512,""vertical_chord_count_v"":128,""width"":462}",,complete,,4096,,,True,5
,,,,,explicit-c0-flow,,,,,"{""coefficient_of_variation"":0.13181929442717907,""mad"":1551208.0,""max"":93792834.0,""median"":60999083.0,""min"":59262292.0,""n"":15,""q1"":59589416.5,""q3"":65295125.0}",,,representation-crossover,,,,,,,,,,,,,distributions,solve-from-canonical-instance,,,"{""biclique_count"":1,""biclique_total_vertex_occurrences_sigma"":256,""boundary_size_b"":1028,""component_count"":1,""compressed_network_arc_count"":512,""compressed_network_node_count"":259,""compressed_size_m"":771,""explicit_conflict_edge_count_k"":16384,""foreground_cells_n"":196676,""height"":462,""horizontal_chord_count_h"":128,""optimum_rectangle_count"":385,""q"":256,""reflex_count"":512,""vertical_chord_count_v"":128,""width"":462}",,complete,,4096,,,True,5
,,,,,explicit-hopcroft-karp,,,,,"{""coefficient_of_variation"":0.08030090743491847,""mad"":1346875.0,""max"":65374958.0,""median"":54138250.0,""min"":52773000.0,""n"":15,""q1"":53009250.0,""q3"":61734187.5}",,,representation-crossover,,,,,,,,,,,,,distributions,solve-from-canonical-instance,,,"{""biclique_count"":1,""biclique_total_vertex_occurrences_sigma"":256,""boundary_size_b"":1028,""component_count"":1,""compressed_network_arc_count"":512,""compressed_network_node_count"":259,""compressed_size_m"":771,""explicit_conflict_edge_count_k"":16384,""foreground_cells_n"":196676,""height"":462,""horizontal_chord_count_h"":128,""optimum_rectangle_count"":385,""q"":256,""reflex_count"":512,""vertical_chord_count_v"":128,""width"":462}",,complete,,4096,,,True,5
,,,,,compact-mrd,,,,,"{""coefficient_of_variation"":0.04940736373667046,""mad"":541.0,""max"":131708.0,""median"":71958.0,""min"":70041.0,""n"":4507,""q1"":71459.0,""q3"":72584.0}",,,representation-crossover,,,,,,,,,,,,,distributions,representation-and-solver-kernel,,,"{""biclique_count"":1,""biclique_total_vertex_occurrences_sigma"":364,""boundary_size_b"":1460,""component_count"":1,""compressed_network_arc_count"":728,""compressed_network_node_count"":367,""compressed_size_m"":1095,""explicit_conflict_edge_count_k"":33124,""foreground_cells_n"":390131,""height"":651,""horizontal_chord_count_h"":182,""optimum_rectangle_count"":547,""q"":364,""reflex_count"":728,""vertical_chord_count_v"":182,""width"":651}",,complete,,8192,,,True,5
,,,,,explicit-c0-flow,,,,,"{""coefficient_of_variation"":0.016690307200516112,""mad"":145584.0,""max"":16717125.0,""median"":15908000.0,""min"":15530458.0,""n"":31,""q1"":15764479.0,""q3"":16059687.5}",,,representation-crossover,,,,,,,,,,,,,distributions,representation-and-solver-kernel,,,"{""biclique_count"":1,""biclique_total_vertex_occurrences_sigma"":364,""boundary_size_b"":1460,""component_count"":1,""compressed_network_arc_count"":728,""compressed_network_node_count"":367,""compressed_size_m"":1095,""explicit_conflict_edge_count_k"":33124,""foreground_cells_n"":390131,""height"":651,""horizontal_chord_count_h"":182,""optimum_rectangle_count"":547,""q"":364,""reflex_count"":728,""vertical_chord_count_v"":182,""width"":651}",,complete,,8192,,,True,5
,,,,,explicit-hopcroft-karp,,,,,"{""coefficient_of_variation"":0.031055806878217098,""mad"":16542.0,""max"":1595000.0,""median"":1402458.0,""min"":1371167.0,""n"":329,""q1"":1389416.0,""q3"":1429584.0}",,,representation-crossover,,,,,,,,,,,,,distributions,representation-and-solver-kernel,,,"{""biclique_count"":1,""biclique_total_vertex_occurrences_sigma"":364,""boundary_size_b"":1460,""component_count"":1,""compressed_network_arc_count"":728,""compressed_network_node_count"":367,""compressed_size_m"":1095,""explicit_conflict_edge_count_k"":33124,""foreground_cells_n"":390131,""height"":651,""horizontal_chord_count_h"":182,""optimum_rectangle_count"":547,""q"":364,""reflex_count"":728,""vertical_chord_count_v"":182,""width"":651}",,complete,,8192,,,True,5
,,,,,compact-mrd,,,,,"{""coefficient_of_variation"":0.004243540697764231,""mad"":231542.0,""max"":108445584.0,""median"":107571083.0,""min"":107082583.0,""n"":7,""q1"":107464417.0,""q3"":108064812.5}",,,representation-crossover,,,,,,,,,,,,,distributions,solve-from-canonical-instance,,,"{""biclique_count"":1,""biclique_total_vertex_occurrences_sigma"":364,""boundary_size_b"":1460,""component_count"":1,""compressed_network_arc_count"":728,""compressed_network_node_count"":367,""compressed_size_m"":1095,""explicit_conflict_edge_count_k"":33124,""foreground_cells_n"":390131,""height"":651,""horizontal_chord_count_h"":182,""optimum_rectangle_count"":547,""q"":364,""reflex_count"":728,""vertical_chord_count_v"":182,""width"":651}",,complete,,8192,,,True,5
,,,,,explicit-c0-flow,,,,,"{""coefficient_of_variation"":0.0050602154508577165,""mad"":178083.0,""max"":124904208.0,""median"":123485791.0,""min"":122660708.0,""n"":7,""q1"":123339854.0,""q3"":123623499.5}",,,representation-crossover,,,,,,,,,,,,,distributions,solve-from-canonical-instance,,,"{""biclique_count"":1,""biclique_total_vertex_occurrences_sigma"":364,""boundary_size_b"":1460,""component_count"":1,""compressed_network_arc_count"":728,""compressed_network_node_count"":367,""compressed_size_m"":1095,""explicit_conflict_edge_count_k"":33124,""foreground_cells_n"":390131,""height"":651,""horizontal_chord_count_h"":182,""optimum_rectangle_count"":547,""q"":364,""reflex_count"":728,""vertical_chord_count_v"":182,""width"":651}",,complete,,8192,,,True,5
,,,,,explicit-hopcroft-karp,,,,,"{""coefficient_of_variation"":0.0036557111261369857,""mad"":242957.0,""max"":110882792.0,""median"":110071166.0,""min"":109558958.0,""n"":7,""q1"":109903854.5,""q3"":110367271.0}",,,representation-crossover,,,,,,,,,,,,,distributions,solve-from-canonical-instance,,,"{""biclique_count"":1,""biclique_total_vertex_occurrences_sigma"":364,""boundary_size_b"":1460,""component_count"":1,""compressed_network_arc_count"":728,""compressed_network_node_count"":367,""compressed_size_m"":1095,""explicit_conflict_edge_count_k"":33124,""foreground_cells_n"":390131,""height"":651,""horizontal_chord_count_h"":182,""optimum_rectangle_count"":547,""q"":364,""reflex_count"":728,""vertical_chord_count_v"":182,""width"":651}",,complete,,8192,,,True,5
,,,,,compact-mrd,,,,,"{""coefficient_of_variation"":0.10269065955216071,""mad"":42.0,""max"":44500.0,""median"":6792.0,""min"":6583.0,""n"":10000,""q1"":6750.0,""q3"":6875.0}",,,sparse-conflict,,,,,,,,,,,,,distributions,representation-and-solver-kernel,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":260,""component_count"":1,""compressed_network_arc_count"":62,""compressed_network_node_count"":64,""compressed_size_m"":126,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":517,""height"":5,""horizontal_chord_count_h"":62,""optimum_rectangle_count"":67,""q"":62,""reflex_count"":128,""vertical_chord_count_v"":0,""width"":129}",,complete,,64,,,True,5
,,,,,explicit-c0-flow,,,,,"{""coefficient_of_variation"":0.07892134500741535,""mad"":41.0,""max"":14375.0,""median"":3416.0,""min"":3208.0,""n"":10000,""q1"":3375.0,""q3"":3458.0}",,,sparse-conflict,,,,,,,,,,,,,distributions,representation-and-solver-kernel,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":260,""component_count"":1,""compressed_network_arc_count"":62,""compressed_network_node_count"":64,""compressed_size_m"":126,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":517,""height"":5,""horizontal_chord_count_h"":62,""optimum_rectangle_count"":67,""q"":62,""reflex_count"":128,""vertical_chord_count_v"":0,""width"":129}",,complete,,64,,,True,5
,,,,,explicit-hopcroft-karp,,,,,"{""coefficient_of_variation"":0.1437526854291211,""mad"":41.0,""max"":8917.0,""median"":875.0,""min"":750.0,""n"":10000,""q1"":833.0,""q3"":875.0}",,,sparse-conflict,,,,,,,,,,,,,distributions,representation-and-solver-kernel,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":260,""component_count"":1,""compressed_network_arc_count"":62,""compressed_network_node_count"":64,""compressed_size_m"":126,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":517,""height"":5,""horizontal_chord_count_h"":62,""optimum_rectangle_count"":67,""q"":62,""reflex_count"":128,""vertical_chord_count_v"":0,""width"":129}",,complete,,64,,,True,6
,,,,,compact-mrd,,,,,"{""coefficient_of_variation"":0.028442618471371348,""mad"":2166.0,""max"":333709.0,""median"":255792.0,""min"":248500.0,""n"":1781,""q1"":253958.0,""q3"":258417.0}",,,sparse-conflict,,,,,,,,,,,,,distributions,solve-from-canonical-instance,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":260,""component_count"":1,""compressed_network_arc_count"":62,""compressed_network_node_count"":64,""compressed_size_m"":126,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":517,""height"":5,""horizontal_chord_count_h"":62,""optimum_rectangle_count"":67,""q"":62,""reflex_count"":128,""vertical_chord_count_v"":0,""width"":129}",,complete,,64,,,True,5
,,,,,explicit-c0-flow,,,,,"{""coefficient_of_variation"":0.028137589031822115,""mad"":2083.0,""max"":350667.0,""median"":252333.0,""min"":245416.0,""n"":1904,""q1"":250375.0,""q3"":254542.0}",,,sparse-conflict,,,,,,,,,,,,,distributions,solve-from-canonical-instance,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":260,""component_count"":1,""compressed_network_arc_count"":62,""compressed_network_node_count"":64,""compressed_size_m"":126,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":517,""height"":5,""horizontal_chord_count_h"":62,""optimum_rectangle_count"":67,""q"":62,""reflex_count"":128,""vertical_chord_count_v"":0,""width"":129}",,complete,,64,,,True,5
,,,,,explicit-hopcroft-karp,,,,,"{""coefficient_of_variation"":0.025317372705187746,""mad"":2041.0,""max"":314291.0,""median"":249666.0,""min"":241833.0,""n"":1983,""q1"":247875.0,""q3"":252104.5}",,,sparse-conflict,,,,,,,,,,,,,distributions,solve-from-canonical-instance,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":260,""component_count"":1,""compressed_network_arc_count"":62,""compressed_network_node_count"":64,""compressed_size_m"":126,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":517,""height"":5,""horizontal_chord_count_h"":62,""optimum_rectangle_count"":67,""q"":62,""reflex_count"":128,""vertical_chord_count_v"":0,""width"":129}",,complete,,64,,,True,5
,,,,,compact-mrd,,,,,"{""coefficient_of_variation"":0.07290458294590738,""mad"":83.0,""max"":52625.0,""median"":12333.0,""min"":12083.0,""n"":10000,""q1"":12250.0,""q3"":12417.0}",,,sparse-conflict,,,,,,,,,,,,,distributions,representation-and-solver-kernel,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":516,""component_count"":1,""compressed_network_arc_count"":126,""compressed_network_node_count"":128,""compressed_size_m"":254,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":1029,""height"":5,""horizontal_chord_count_h"":126,""optimum_rectangle_count"":131,""q"":126,""reflex_count"":256,""vertical_chord_count_v"":0,""width"":257}",,complete,,128,,,True,8
,,,,,explicit-c0-flow,,,,,"{""coefficient_of_variation"":0.1193095956997033,""mad"":42.0,""max"":46875.0,""median"":5833.0,""min"":5666.0,""n"":10000,""q1"":5791.0,""q3"":5875.0}",,,sparse-conflict,,,,,,,,,,,,,distributions,representation-and-solver-kernel,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":516,""component_count"":1,""compressed_network_arc_count"":126,""compressed_network_node_count"":128,""compressed_size_m"":254,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":1029,""height"":5,""horizontal_chord_count_h"":126,""optimum_rectangle_count"":131,""q"":126,""reflex_count"":256,""vertical_chord_count_v"":0,""width"":257}",,complete,,128,,,True,5
,,,,,explicit-hopcroft-karp,,,,,"{""coefficient_of_variation"":0.12724726265834055,""mad"":41.0,""max"":14708.0,""median"":1416.0,""min"":1291.0,""n"":10000,""q1"":1375.0,""q3"":1417.0}",,,sparse-conflict,,,,,,,,,,,,,distributions,representation-and-solver-kernel,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":516,""component_count"":1,""compressed_network_arc_count"":126,""compressed_network_node_count"":128,""compressed_size_m"":254,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":1029,""height"":5,""horizontal_chord_count_h"":126,""optimum_rectangle_count"":131,""q"":126,""reflex_count"":256,""vertical_chord_count_v"":0,""width"":257}",,complete,,128,,,True,5
,,,,,compact-mrd,,,,,"{""coefficient_of_variation"":0.026973186310727745,""mad"":4625.0,""max"":704958.0,""median"":514375.0,""min"":502250.0,""n"":892,""q1"":510458.0,""q3"":520083.25}",,,sparse-conflict,,,,,,,,,,,,,distributions,solve-from-canonical-instance,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":516,""component_count"":1,""compressed_network_arc_count"":126,""compressed_network_node_count"":128,""compressed_size_m"":254,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":1029,""height"":5,""horizontal_chord_count_h"":126,""optimum_rectangle_count"":131,""q"":126,""reflex_count"":256,""vertical_chord_count_v"":0,""width"":257}",,complete,,128,,,True,5
,,,,,explicit-c0-flow,,,,,"{""coefficient_of_variation"":0.023188290585505977,""mad"":4334.0,""max"":624417.0,""median"":507750.0,""min"":492375.0,""n"":969,""q1"":504000.0,""q3"":513584.0}",,,sparse-conflict,,,,,,,,,,,,,distributions,solve-from-canonical-instance,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":516,""component_count"":1,""compressed_network_arc_count"":126,""compressed_network_node_count"":128,""compressed_size_m"":254,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":1029,""height"":5,""horizontal_chord_count_h"":126,""optimum_rectangle_count"":131,""q"":126,""reflex_count"":256,""vertical_chord_count_v"":0,""width"":257}",,complete,,128,,,True,5
,,,,,explicit-hopcroft-karp,,,,,"{""coefficient_of_variation"":0.024536632789086046,""mad"":4125.0,""max"":593541.0,""median"":502375.0,""min"":488417.0,""n"":980,""q1"":498864.75,""q3"":507635.5}",,,sparse-conflict,,,,,,,,,,,,,distributions,solve-from-canonical-instance,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":516,""component_count"":1,""compressed_network_arc_count"":126,""compressed_network_node_count"":128,""compressed_size_m"":254,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":1029,""height"":5,""horizontal_chord_count_h"":126,""optimum_rectangle_count"":131,""q"":126,""reflex_count"":256,""vertical_chord_count_v"":0,""width"":257}",,complete,,128,,,True,5
,,,,,compact-mrd,,,,,"{""coefficient_of_variation"":0.08669649856677063,""mad"":209.0,""max"":93875.0,""median"":23416.0,""min"":22708.0,""n"":10000,""q1"":23250.0,""q3"":24084.0}",,,sparse-conflict,,,,,,,,,,,,,distributions,representation-and-solver-kernel,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":1028,""component_count"":1,""compressed_network_arc_count"":254,""compressed_network_node_count"":256,""compressed_size_m"":510,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":2053,""height"":5,""horizontal_chord_count_h"":254,""optimum_rectangle_count"":259,""q"":254,""reflex_count"":512,""vertical_chord_count_v"":0,""width"":513}",,complete,,256,,,True,5
,,,,,explicit-c0-flow,,,,,"{""coefficient_of_variation"":0.0768731855074715,""mad"":84.0,""max"":59542.0,""median"":10708.0,""min"":10250.0,""n"":10000,""q1"":10625.0,""q3"":10833.0}",,,sparse-conflict,,,,,,,,,,,,,distributions,representation-and-solver-kernel,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":1028,""component_count"":1,""compressed_network_arc_count"":254,""compressed_network_node_count"":256,""compressed_size_m"":510,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":2053,""height"":5,""horizontal_chord_count_h"":254,""optimum_rectangle_count"":259,""q"":254,""reflex_count"":512,""vertical_chord_count_v"":0,""width"":513}",,complete,,256,,,True,5
,,,,,explicit-hopcroft-karp,,,,,"{""coefficient_of_variation"":0.054566379715060294,""mad"":42.0,""max"":8541.0,""median"":2375.0,""min"":2208.0,""n"":10000,""q1"":2333.0,""q3"":2375.0}",,,sparse-conflict,,,,,,,,,,,,,distributions,representation-and-solver-kernel,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":1028,""component_count"":1,""compressed_network_arc_count"":254,""compressed_network_node_count"":256,""compressed_size_m"":510,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":2053,""height"":5,""horizontal_chord_count_h"":254,""optimum_rectangle_count"":259,""q"":254,""reflex_count"":512,""vertical_chord_count_v"":0,""width"":513}",,complete,,256,,,True,5
,,,,,compact-mrd,,,,,"{""coefficient_of_variation"":0.02027753971774246,""mad"":8626.0,""max"":1225667.0,""median"":1051958.0,""min"":1027708.0,""n"":449,""q1"":1044083.0,""q3"":1062208.0}",,,sparse-conflict,,,,,,,,,,,,,distributions,solve-from-canonical-instance,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":1028,""component_count"":1,""compressed_network_arc_count"":254,""compressed_network_node_count"":256,""compressed_size_m"":510,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":2053,""height"":5,""horizontal_chord_count_h"":254,""optimum_rectangle_count"":259,""q"":254,""reflex_count"":512,""vertical_chord_count_v"":0,""width"":513}",,complete,,256,,,True,5
,,,,,explicit-c0-flow,,,,,"{""coefficient_of_variation"":0.028191086457467904,""mad"":8875.0,""max"":1493875.0,""median"":1038500.0,""min"":1014125.0,""n"":470,""q1"":1030917.0,""q3"":1048739.5}",,,sparse-conflict,,,,,,,,,,,,,distributions,solve-from-canonical-instance,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":1028,""component_count"":1,""compressed_network_arc_count"":254,""compressed_network_node_count"":256,""compressed_size_m"":510,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":2053,""height"":5,""horizontal_chord_count_h"":254,""optimum_rectangle_count"":259,""q"":254,""reflex_count"":512,""vertical_chord_count_v"":0,""width"":513}",,complete,,256,,,True,5
,,,,,explicit-hopcroft-karp,,,,,"{""coefficient_of_variation"":0.021274596310390186,""mad"":9584.0,""max"":1155500.0,""median"":1029959.0,""min"":1005917.0,""n"":479,""q1"":1021729.0,""q3"":1042208.5}",,,sparse-conflict,,,,,,,,,,,,,distributions,solve-from-canonical-instance,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":1028,""component_count"":1,""compressed_network_arc_count"":254,""compressed_network_node_count"":256,""compressed_size_m"":510,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":2053,""height"":5,""horizontal_chord_count_h"":254,""optimum_rectangle_count"":259,""q"":254,""reflex_count"":512,""vertical_chord_count_v"":0,""width"":513}",,complete,,256,,,True,5
,,,,,compact-mrd,,,,,"{""coefficient_of_variation"":0.07612599958179192,""mad"":625.0,""max"":107333.0,""median"":46542.0,""min"":45125.0,""n"":8565,""q1"":46125.0,""q3"":49750.0}",,,sparse-conflict,,,,,,,,,,,,,distributions,representation-and-solver-kernel,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":2052,""component_count"":1,""compressed_network_arc_count"":510,""compressed_network_node_count"":512,""compressed_size_m"":1022,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":4101,""height"":5,""horizontal_chord_count_h"":510,""optimum_rectangle_count"":515,""q"":510,""reflex_count"":1024,""vertical_chord_count_v"":0,""width"":1025}",,complete,,512,,,True,6
,,,,,explicit-c0-flow,,,,,"{""coefficient_of_variation"":0.06427118282405142,""mad"":250.0,""max"":69542.0,""median"":20834.0,""min"":20000.0,""n"":10000,""q1"":20583.0,""q3"":21084.0}",,,sparse-conflict,,,,,,,,,,,,,distributions,representation-and-solver-kernel,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":2052,""component_count"":1,""compressed_network_arc_count"":510,""compressed_network_node_count"":512,""compressed_size_m"":1022,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":4101,""height"":5,""horizontal_chord_count_h"":510,""optimum_rectangle_count"":515,""q"":510,""reflex_count"":1024,""vertical_chord_count_v"":0,""width"":1025}",,complete,,512,,,True,5
,,,,,explicit-hopcroft-karp,,,,,"{""coefficient_of_variation"":0.09057661515684963,""mad"":42.0,""max"":31875.0,""median"":4250.0,""min"":4000.0,""n"":10000,""q1"":4208.0,""q3"":4292.0}",,,sparse-conflict,,,,,,,,,,,,,distributions,representation-and-solver-kernel,,,"{""biclique_count"":0,""biclique_total_vertex_occurrences_sigma"":0,""boundary_size_b"":2052,""component_count"":1,""compressed_network_arc_count"":510,""compressed_network_node_count"":512,""compressed_size_m"":1022,""explicit_conflict_edge_count_k"":0,""foreground_cells_n"":4101,""height"":5,""horizontal_chord_count_h"":510,""optimum_rectangle_count"":515,""q"":510,""reflex_count"":1024,""vertical_chord_count_v"":0,""width"":1025}",,complete,,512,,,True,5
