family,family_name,size,boundary_complexity,hole_count,reflex_count,aligned_candidate_count,chord_count,candidate_output_ratio_numerator,candidate_output_ratio_denominator,selected_horizontal_cut_count,selected_vertical_cut_count,added_horizontal_cut_count,added_vertical_cut_count,coordinate_x_count,coordinate_y_count,coordinate_cartesian_product,sparse_subdivision_vertices,sparse_subdivision_half_edges,sparse_subdivision_junctions,sparse_subdivision_interior_faces,dense_owned_bytes_estimate,sparse_owned_bytes_estimate,cut_index_owned_bytes_estimate,completion_microseconds,recovery_microseconds,validation_microseconds,reference_microseconds,indexed_microseconds,sweep_microseconds,reference_pair_iterations,indexed_pair_iterations,sweep_event_count,sweep_status_operations,sweep_output_record_count,chord_families_equal,optimum_equal,cuts_equal,rectangles_equal,three_backend_equal,reference_boundary_edge_visits,indexed_boundary_edge_visits,reference_definition7_full_boundary_scans,indexed_definition7_full_boundary_scans,sweep_aligned_pair_iterations,sweep_all_pair_iterations,sweep_definition7_fallback_checks,sweep_full_boundary_scans,sweep_duplicate_output_count,reference_completion_candidate_rebuilds,indexed_completion_candidate_rebuilds,reference_completion_cut_pair_tests,indexed_completion_cut_pair_tests,reference_completion_full_boundary_scans,indexed_completion_full_boundary_scans,reference_completion_full_cut_scans,indexed_completion_full_cut_scans,reference_arrangement_boundary_edge_visits,indexed_arrangement_boundary_edge_visits,reference_validator_rectangle_cell_tests,indexed_validator_rectangle_cell_tests,reference_prepare_owned_bytes,indexed_prepare_owned_bytes,sweep_prepare_owned_bytes,reference_owned_allocations,indexed_owned_allocations,sweep_owned_allocations,status,message
E,sparse-path-tree,2,36,0,16,16,8,16,8,0,4,8,0,10,10,100,44,112,24,13,1221,8224,1296,26,23,3,172,83,93,120,16,104,104,8,true,true,true,true,true,576,0,16,0,0,0,0,0,0,10,0,176,0,8,0,8,0,0,0,0,0,7480,7480,7480,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":7480,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":1296,""polygon_prepared_context"":7480,""polygon_sparse_subdivision"":8224}","{""polygon_arrangement"":0,""polygon_cut_index"":1296,""polygon_prepared_context"":7480,""polygon_sparse_subdivision"":8224}",verified,
F,4d-fallback-sparse,2,12,2,8,12,1,12,1,1,0,6,0,6,5,30,18,50,14,6,397,3632,664,14,18,2,39,48,41,28,12,40,40,1,true,true,true,true,true,144,0,12,0,0,0,0,0,0,8,0,0,0,6,0,6,0,0,0,0,0,2640,2640,2640,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":2640,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":664,""polygon_prepared_context"":2640,""polygon_sparse_subdivision"":3632}","{""polygon_arrangement"":0,""polygon_cut_index"":664,""polygon_prepared_context"":2640,""polygon_sparse_subdivision"":3632}",verified,
G,aligned-reflex-heavy,2,36,0,16,32,12,32,12,0,6,4,0,8,8,64,40,100,20,11,801,7360,1040,23,31,2,138,101,96,120,32,104,104,12,true,true,true,true,true,1152,0,32,0,0,0,0,0,0,6,0,84,0,4,0,4,0,0,0,0,0,7080,7080,7080,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":7080,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":1040,""polygon_prepared_context"":7080,""polygon_sparse_subdivision"":7360}","{""polygon_arrangement"":0,""polygon_cut_index"":1040,""polygon_prepared_context"":7080,""polygon_sparse_subdivision"":7360}",verified,
H,huge-coordinate,2,36,0,16,16,8,16,8,0,4,8,0,10,10,100,44,112,24,13,1221,8224,1296,24,29,2,175,89,94,120,16,104,104,8,true,true,true,true,true,576,0,16,0,0,0,0,0,0,10,0,176,0,8,0,8,0,0,0,0,0,7480,7480,7480,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":7480,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":1296,""polygon_prepared_context"":7480,""polygon_sparse_subdivision"":8224}","{""polygon_arrangement"":0,""polygon_cut_index"":1296,""polygon_prepared_context"":7480,""polygon_sparse_subdivision"":8224}",verified,
A,staircase-sparse,4,20,0,8,4,0,4,1,0,0,8,0,10,6,60,28,72,16,9,757,5280,888,18,19,2,67,55,51,28,4,56,56,0,true,true,true,true,true,80,0,4,0,0,0,0,0,0,10,0,0,0,8,0,8,0,0,0,0,0,4376,4376,4376,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":4376,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":888,""polygon_prepared_context"":4376,""polygon_sparse_subdivision"":5280}","{""polygon_arrangement"":0,""polygon_cut_index"":888,""polygon_prepared_context"":4376,""polygon_sparse_subdivision"":5280}",verified,
B,many-coordinates-few-faces,4,36,0,16,8,0,8,1,0,0,16,0,18,10,180,52,136,32,17,2149,9952,1720,45,47,6,257,128,117,120,8,104,104,0,true,true,true,true,true,288,0,8,0,0,0,0,0,0,18,0,0,0,16,0,16,0,0,0,0,0,8376,8376,8376,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":8376,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":1720,""polygon_prepared_context"":8376,""polygon_sparse_subdivision"":9952}","{""polygon_arrangement"":0,""polygon_cut_index"":1720,""polygon_prepared_context"":8376,""polygon_sparse_subdivision"":9952}",verified,
C,hole-coordinate-cross-product,4,20,4,16,64,6,64,6,6,0,4,0,10,4,40,24,68,20,7,525,4928,896,13,21,3,69,63,57,120,64,72,72,6,true,true,true,true,true,1280,0,64,0,0,0,0,0,0,6,0,0,0,4,0,4,0,0,0,0,0,4296,4296,4296,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":4296,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":896,""polygon_prepared_context"":4296,""polygon_sparse_subdivision"":4928}","{""polygon_arrangement"":0,""polygon_cut_index"":896,""polygon_prepared_context"":4296,""polygon_sparse_subdivision"":4928}",verified,
D,completion-heavy,4,68,0,32,32,16,32,16,0,8,16,0,18,18,324,84,216,48,25,3781,15840,2608,72,79,9,857,233,231,496,32,200,200,16,true,true,true,true,true,2176,0,32,0,0,0,0,0,0,18,0,1216,0,16,0,16,0,0,0,0,0,14328,14328,14328,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":14328,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":2608,""polygon_prepared_context"":14328,""polygon_sparse_subdivision"":15840}","{""polygon_arrangement"":0,""polygon_cut_index"":2608,""polygon_prepared_context"":14328,""polygon_sparse_subdivision"":15840}",verified,
E,sparse-path-tree,4,68,0,32,32,16,32,16,0,8,16,0,18,18,324,84,216,48,25,3781,15840,2608,60,53,6,823,178,392,496,32,200,200,16,true,true,true,true,true,2176,0,32,0,0,0,0,0,0,18,0,1216,0,16,0,16,0,0,0,0,0,14328,14328,14328,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":14328,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":2608,""polygon_prepared_context"":14328,""polygon_sparse_subdivision"":15840}","{""polygon_arrangement"":0,""polygon_cut_index"":2608,""polygon_prepared_context"":14328,""polygon_sparse_subdivision"":15840}",verified,
F,4d-fallback-sparse,4,20,4,16,28,3,28,3,3,0,10,0,10,7,70,30,86,26,10,873,6224,1248,27,35,4,122,95,100,120,28,72,72,3,true,true,true,true,true,560,0,28,0,0,0,0,0,0,12,0,0,0,10,0,10,0,0,0,0,0,4464,4464,4464,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":4464,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":1248,""polygon_prepared_context"":4464,""polygon_sparse_subdivision"":6224}","{""polygon_arrangement"":0,""polygon_cut_index"":1248,""polygon_prepared_context"":4464,""polygon_sparse_subdivision"":6224}",verified,
