schema_version,campaign,family,algorithm,solver_provenance,seed,target_size,generation_attempts,pair_id,repetition,warmup,measured,execution_order,timeout_seconds,state,outcome,exit_status,correctness,message,invalid_reason,process_wall_time_ns,process_startup_overhead_ns,size_width,size_height,size_foreground_cells_n,size_component_count,size_boundary_size_b,size_reflex_count,size_horizontal_chord_count_h,size_vertical_chord_count_v,size_q,size_explicit_conflict_edge_count_k,size_biclique_count,size_biclique_total_vertex_occurrences_sigma,size_compressed_network_node_count,size_compressed_network_arc_count,size_optimum_rectangle_count,structure_rank_sort_count,structure_rank_map_entry_count,structure_rank_map_owned_bytes,structure_matching_size,structure_vertex_cover_size,structure_c0_network_node_count,structure_c0_network_arc_count,timing_input_loading_ns,timing_instance_generation_ns,timing_geometry_preprocessing_ns,timing_chord_generation_ns,timing_embedding_ns,timing_explicit_conflict_graph_ns,timing_biclique_construction_ns,timing_network_construction_ns,timing_matching_or_flow_ns,timing_vertex_cover_recovery_ns,timing_chord_selection_ns,timing_geometric_completion_ns,timing_rectangle_recovery_ns,timing_verification_ns,timing_total_in_process_solve_ns,paired_width,paired_height,paired_foreground_cells_n,paired_component_count,paired_boundary_size_b,paired_reflex_count,paired_horizontal_chord_count_h,paired_vertical_chord_count_v,paired_q,paired_explicit_conflict_edge_count_k,paired_biclique_count,paired_biclique_total_vertex_occurrences_sigma,paired_compressed_network_node_count,paired_compressed_network_arc_count,paired_optimum_rectangle_count
1,paper-scaling-pilot,comb-staircase,compact-mrd,dominance::biclique::experiment::construct + compressed flow construction/execution/cover recovery + indexed completion,424242,40,1,comb-staircase:424242:40:0,0,False,True,1,60.0,success,success,0,valid,,,42939625,41601291,81,41,1681,1,162,79,39,0,39,,0,0,41,39,41,0,0,0,0,0,,,0,10416,1032500,10583,3625,,9167,3666,8334,541,167,215250,13709,31666,1338334,,,,,162,79,,,39,0,0,0,41,39,
1,paper-scaling-pilot,comb-staircase,exact-cover-oracle,exact-cover-oracle::solve (bitset branch-and-bound; predeclared cell limit),424242,40,1,comb-staircase:424242:40:0,0,False,True,2,60.0,unsupported,unsupported,0,unsupported,foreground cell count 1681 exceeds oracle limit 40,,42099958,,81,41,1681,1,162,79,,,,,,,,,,,,,,,,,0,9042,,,,,,,,,,,,,,,,,,162,79,,,39,0,0,0,41,39,
1,paper-scaling-pilot,comb-staircase,explicit-hopcroft-karp,sg-oracle::grid::build_conflict_graph + Hopcroft-Karp + Konig cover + indexed completion,424242,40,1,comb-staircase:424242:40:0,0,False,True,3,60.0,success,success,0,valid,,,43477833,42134083,81,41,1681,1,162,79,39,0,39,0,0,0,,,41,,,,0,0,,,0,9583,1046833,10250,,2583,,,2625,916,167,222833,14250,33542,1343750,,,,,162,79,,,39,0,0,0,41,39,
1,paper-scaling-pilot,comb-staircase,explicit-c0-flow,DominanceEmbedding::explicit_graph + C0 edge bicliques + explicit flow construction/execution/cover recovery + indexed completion,424242,40,1,comb-staircase:424242:40:1,1,False,True,0,60.0,success,success,0,valid,,,43625792,42209917,81,41,1681,1,162,79,39,0,39,0,0,0,41,39,41,0,0,0,0,0,41,39,0,9166,1102459,10875,3666,2000,6000,3333,11250,375,250,214791,13792,37709,1415875,,,,,162,79,,,39,0,0,0,41,39,
1,paper-scaling-pilot,comb-staircase,compact-mrd,dominance::biclique::experiment::construct + compressed flow construction/execution/cover recovery + indexed completion,424242,40,1,comb-staircase:424242:40:1,1,False,True,1,60.0,success,success,0,valid,,,44021583,42680416,81,41,1681,1,162,79,39,0,39,,0,0,41,39,41,0,0,0,0,0,,,0,18709,1026709,10750,3750,,9458,3458,8667,583,125,219541,14125,32709,1341167,,,,,162,79,,,39,0,0,0,41,39,
1,paper-scaling-pilot,comb-staircase,exact-cover-oracle,exact-cover-oracle::solve (bitset branch-and-bound; predeclared cell limit),424242,40,1,comb-staircase:424242:40:1,1,False,True,2,60.0,unsupported,unsupported,0,unsupported,foreground cell count 1681 exceeds oracle limit 40,,42152875,,81,41,1681,1,162,79,,,,,,,,,,,,,,,,,0,8625,,,,,,,,,,,,,,,,,,162,79,,,39,0,0,0,41,39,
1,paper-scaling-pilot,comb-staircase,explicit-hopcroft-karp,sg-oracle::grid::build_conflict_graph + Hopcroft-Karp + Konig cover + indexed completion,424242,40,1,comb-staircase:424242:40:1,1,False,True,3,60.0,success,success,0,valid,,,43734000,42418083,81,41,1681,1,162,79,39,0,39,0,0,0,,,41,,,,0,0,,,0,9584,1028334,9584,,2583,,,2500,791,167,217125,13875,32667,1315917,,,,,162,79,,,39,0,0,0,41,39,
1,paper-scaling-pilot,comb-staircase,explicit-c0-flow,DominanceEmbedding::explicit_graph + C0 edge bicliques + explicit flow construction/execution/cover recovery + indexed completion,424242,40,1,comb-staircase:424242:40:2,2,False,True,0,60.0,success,success,0,valid,,,43241041,41912708,81,41,1681,1,162,79,39,0,39,0,0,0,41,39,41,0,0,0,0,0,41,39,0,9542,1021708,11417,3708,1875,5208,3334,8167,750,125,216375,13750,33168,1328333,,,,,162,79,,,39,0,0,0,41,39,
1,paper-scaling-pilot,comb-staircase,compact-mrd,dominance::biclique::experiment::construct + compressed flow construction/execution/cover recovery + indexed completion,424242,40,1,comb-staircase:424242:40:2,2,False,True,1,60.0,success,success,0,valid,,,43168375,41822250,81,41,1681,1,162,79,39,0,39,,0,0,41,39,41,0,0,0,0,0,,,0,9500,1034958,10500,3459,,9000,3292,8208,542,167,218958,14625,32792,1346125,,,,,162,79,,,39,0,0,0,41,39,
1,paper-scaling-pilot,comb-staircase,exact-cover-oracle,exact-cover-oracle::solve (bitset branch-and-bound; predeclared cell limit),424242,40,1,comb-staircase:424242:40:2,2,False,True,2,60.0,unsupported,unsupported,0,unsupported,foreground cell count 1681 exceeds oracle limit 40,,41866875,,81,41,1681,1,162,79,,,,,,,,,,,,,,,,,0,8959,,,,,,,,,,,,,,,,,,162,79,,,39,0,0,0,41,39,
