schema_version,campaign,family,algorithm,solver_provenance,seed,target_size,generation_attempts,pair_id,repetition,warmup,measured,execution_order,timeout_seconds,state,outcome,exit_status,correctness,message,invalid_reason,process_wall_time_ns,process_startup_overhead_ns,size_width,size_height,size_foreground_cells_n,size_component_count,size_boundary_size_b,size_reflex_count,size_horizontal_chord_count_h,size_vertical_chord_count_v,size_q,size_explicit_conflict_edge_count_k,size_biclique_count,size_biclique_total_vertex_occurrences_sigma,size_compressed_network_node_count,size_compressed_network_arc_count,size_optimum_rectangle_count,structure_rank_sort_count,structure_rank_map_entry_count,structure_rank_map_owned_bytes,structure_matching_size,structure_vertex_cover_size,structure_c0_network_node_count,structure_c0_network_arc_count,timing_input_loading_ns,timing_instance_generation_ns,timing_geometry_preprocessing_ns,timing_chord_generation_ns,timing_embedding_ns,timing_explicit_conflict_graph_ns,timing_biclique_construction_ns,timing_network_construction_ns,timing_matching_or_flow_ns,timing_vertex_cover_recovery_ns,timing_chord_selection_ns,timing_geometric_completion_ns,timing_rectangle_recovery_ns,timing_verification_ns,timing_total_in_process_solve_ns,paired_width,paired_height,paired_foreground_cells_n,paired_component_count,paired_boundary_size_b,paired_reflex_count,paired_horizontal_chord_count_h,paired_vertical_chord_count_v,paired_q,paired_explicit_conflict_edge_count_k,paired_biclique_count,paired_biclique_total_vertex_occurrences_sigma,paired_compressed_network_node_count,paired_compressed_network_arc_count,paired_optimum_rectangle_count
1,paper-scaling,dense-conflict,explicit-c0-flow,DominanceEmbedding::explicit_graph + C0 edge bicliques + explicit flow construction/execution/cover recovery + indexed completion,424242,4,1,dense-conflict:424242:4:2,2,False,True,2,8.0,success,success,0,valid,,,41762292,41625917,9,9,57,1,36,16,8,8,16,32,32,64,50,80,9,0,0,0,8,8,50,80,0,10792,35125,6625,3375,4125,27791,6250,14250,791,209,18541,4167,6667,136375,,,,,36,16,,,16,32,17,40,35,56,
1,paper-scaling,dense-conflict,compact-mrd,dominance::biclique::experiment::construct + compressed flow construction/execution/cover recovery + indexed completion,424242,4,1,dense-conflict:424242:4:2,2,False,True,3,8.0,success,success,0,valid,,,41585666,41457958,9,9,57,1,36,16,8,8,16,,17,40,35,56,9,0,0,0,8,8,,,0,9542,31875,6125,3209,,37459,4125,10084,666,209,16458,3834,5708,127708,,,,,36,16,,,16,32,17,40,35,56,
1,paper-scaling,dense-conflict,explicit-hopcroft-karp,sg-oracle::grid::build_conflict_graph + Hopcroft-Karp + Konig cover + indexed completion,424242,6,1,dense-conflict:424242:6:0,0,True,False,0,8.0,success,success,0,valid,,,42020875,41919833,11,11,93,1,52,24,12,12,24,60,0,0,,,13,,,,12,12,,,0,10292,44208,7708,,5209,,,3208,417,167,21625,4250,7292,101042,,,,,,,,,,,,,,,
1,paper-scaling,dense-conflict,exact-cover-oracle,exact-cover-oracle::solve (bitset branch-and-bound; predeclared cell limit),424242,6,1,dense-conflict:424242:6:0,0,True,False,1,8.0,unsupported,unsupported,0,unsupported,foreground cell count 93 exceeds oracle limit 40,,41476041,,11,11,93,1,52,24,,,,,,,,,,,,,,,,,0,8500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,paper-scaling,dense-conflict,explicit-c0-flow,DominanceEmbedding::explicit_graph + C0 edge bicliques + explicit flow construction/execution/cover recovery + indexed completion,424242,6,1,dense-conflict:424242:6:0,0,True,False,2,8.0,success,success,0,valid,,,40393750,40220959,11,11,93,1,52,24,12,12,24,60,60,120,86,144,13,0,0,0,12,12,86,144,0,15709,48666,11250,3875,4667,37542,4875,17500,667,125,20917,4333,7208,172791,,,,,,,,,,,,,,,
1,paper-scaling,dense-conflict,compact-mrd,dominance::biclique::experiment::construct + compressed flow construction/execution/cover recovery + indexed completion,424242,6,1,dense-conflict:424242:6:0,0,True,False,3,8.0,success,success,0,valid,,,40889750,40712292,11,11,93,1,52,24,12,12,24,,24,66,50,90,13,0,0,0,12,12,,,0,9667,43375,8292,3292,,61166,5625,13833,625,209,20208,4125,7250,177458,,,,,,,,,,,,,,,
1,paper-scaling,dense-conflict,explicit-hopcroft-karp,sg-oracle::grid::build_conflict_graph + Hopcroft-Karp + Konig cover + indexed completion,424242,6,1,dense-conflict:424242:6:0,0,False,True,0,8.0,success,success,0,valid,,,40940333,40819458,11,11,93,1,52,24,12,12,24,60,0,0,,,13,,,,12,12,,,0,10083,59958,8833,,5542,,,2791,333,209,23125,4416,7959,120875,,,,,52,24,,,24,60,24,66,50,90,
1,paper-scaling,dense-conflict,exact-cover-oracle,exact-cover-oracle::solve (bitset branch-and-bound; predeclared cell limit),424242,6,1,dense-conflict:424242:6:0,0,False,True,1,8.0,unsupported,unsupported,0,unsupported,foreground cell count 93 exceeds oracle limit 40,,41657708,,11,11,93,1,52,24,,,,,,,,,,,,,,,,,0,8958,,,,,,,,,,,,,,,,,,52,24,,,24,60,24,66,50,90,
1,paper-scaling,dense-conflict,explicit-c0-flow,DominanceEmbedding::explicit_graph + C0 edge bicliques + explicit flow construction/execution/cover recovery + indexed completion,424242,6,1,dense-conflict:424242:6:0,0,False,True,2,8.0,success,success,0,valid,,,41557042,41370334,11,11,93,1,52,24,12,12,24,60,60,120,86,144,13,0,0,0,12,12,86,144,0,11708,46875,10250,3916,5042,45625,6917,19083,541,208,22375,4875,6582,186708,,,,,52,24,,,24,60,24,66,50,90,
1,paper-scaling,dense-conflict,compact-mrd,dominance::biclique::experiment::construct + compressed flow construction/execution/cover recovery + indexed completion,424242,6,1,dense-conflict:424242:6:0,0,False,True,3,8.0,success,success,0,valid,,,42220000,42011375,11,11,93,1,52,24,12,12,24,,24,66,50,90,13,0,0,0,12,12,,,0,10084,49833,8458,4250,,75208,5959,16042,583,250,23875,4875,7667,208625,,,,,52,24,,,24,60,24,66,50,90,
