git_commit,rustc_version,command,seed,timestamp,input_count,component_count,input_model,unsupported_input_features,instance_name,family,parameters,component_id,status,message,exact_cover_compared,cell_count,boundary_complexity,hole_count,reflex_vertex_count,horizontal_chord_count,vertical_chord_count,total_chord_count,effective_chord_enumerator,effective_chord_enumeration_microseconds,horizontal_interior_run_count,vertical_interior_run_count,candidate_reflex_pair_count,emitted_chord_count,explicit_conflict_edge_count,edge_density_numerator,edge_density_denominator,biclique_count,biclique_total_vertex_occurrences,biclique_size_per_chord_numerator,biclique_size_per_chord_denominator,biclique_size_per_edge_numerator,biclique_size_per_edge_denominator,c0_network_vertex_count,c0_network_arc_count,compressed_network_vertex_count,compressed_network_arc_count,maximum_matching_size,minimum_vertex_cover_size,output_rectangle_count,c0_phase_microseconds,compressed_phase_microseconds,compact_only_phase_microseconds,peak_memory_bytes,owned_allocation_estimates
04c721c890eefee71dbe333053051bba8cd36374,rustc 1.89.0 (29483883e 2025-08-04),"target/release/rect-cli benchmark --suite dense-compact-only --sizes 128,256,512,1024 --output /tmp/mrd-v03-final-bench/v0.3-compact-dense.csv",,1784946309,4,4,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,dense-conflict-128x128,dense-compact-only,"{""min_horizontal"":128,""min_vertical"":128}",1,verified,,false,17417,1028,0,512,256,256,512,grid-interior-runs,3958,256,256,512,512,,,,308,1619,1619,512,,,0,0,822,2131,256,256,257,{},{},"{""biclique_partition"":463,""boundary_effective_chords"":3958,""compressed_flow"":123,""dominance_embedding"":71,""geometric_completion"":11473}",,"{""biclique_vectors"":30200,""certificate_payload"":75688,""chord_vectors"":16384,""embedding_point_arrays"":32768,""flow_graph_storage"":23624}"
04c721c890eefee71dbe333053051bba8cd36374,rustc 1.89.0 (29483883e 2025-08-04),"target/release/rect-cli benchmark --suite dense-compact-only --sizes 128,256,512,1024 --output /tmp/mrd-v03-final-bench/v0.3-compact-dense.csv",,1784946309,4,4,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,dense-conflict-256x256,dense-compact-only,"{""min_horizontal"":256,""min_vertical"":256}",1,verified,,false,67593,2052,0,1024,512,512,1024,grid-interior-runs,13691,512,512,1024,1024,,,,578,3280,3280,1024,,,0,0,1604,4304,512,512,513,{},{},"{""biclique_partition"":786,""boundary_effective_chords"":13691,""compressed_flow"":162,""dominance_embedding"":70,""geometric_completion"":47166}",,"{""biclique_vectors"":58608,""certificate_payload"":149264,""chord_vectors"":32768,""embedding_point_arrays"":65536,""flow_graph_storage"":47264}"
04c721c890eefee71dbe333053051bba8cd36374,rustc 1.89.0 (29483883e 2025-08-04),"target/release/rect-cli benchmark --suite dense-compact-only --sizes 128,256,512,1024 --output /tmp/mrd-v03-final-bench/v0.3-compact-dense.csv",,1784946309,4,4,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,dense-conflict-512x512,dense-compact-only,"{""min_horizontal"":512,""min_vertical"":512}",1,verified,,false,266249,4100,0,2048,1024,1024,2048,grid-interior-runs,56780,1024,1024,2048,2048,,,,1126,6647,6647,2048,,,0,0,3176,8695,1024,1024,1025,{},{},"{""biclique_partition"":1444,""boundary_effective_chords"":56780,""compressed_flow"":304,""dominance_embedding"":108,""geometric_completion"":227706}",,"{""biclique_vectors"":116232,""certificate_payload"":297288,""chord_vectors"":65536,""embedding_point_arrays"":131072,""flow_graph_storage"":94968}"
04c721c890eefee71dbe333053051bba8cd36374,rustc 1.89.0 (29483883e 2025-08-04),"target/release/rect-cli benchmark --suite dense-compact-only --sizes 128,256,512,1024 --output /tmp/mrd-v03-final-bench/v0.3-compact-dense.csv",,1784946309,4,4,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,dense-conflict-1024x1024,dense-compact-only,"{""min_horizontal"":1024,""min_vertical"":1024}",1,verified,,false,1056777,8196,0,4096,2048,2048,4096,grid-interior-runs,285717,2048,2048,4096,4096,,,,2187,13400,13400,4096,,,0,0,6285,17496,2048,2048,2049,{},{},"{""biclique_partition"":2716,""boundary_effective_chords"":285717,""compressed_flow"":539,""dominance_embedding"":201,""geometric_completion"":1088822}",,"{""biclique_vectors"":229672,""certificate_payload"":591248,""chord_vectors"":131072,""embedding_point_arrays"":262144,""flow_graph_storage"":190248}"
