schema_version,campaign,family,algorithm,solver_provenance,seed,target_size,generation_attempts,pair_id,repetition,warmup,measured,execution_order,timeout_seconds,state,outcome,exit_status,correctness,message,invalid_reason,process_wall_time_ns,process_startup_overhead_ns,size_width,size_height,size_foreground_cells_n,size_component_count,size_boundary_size_b,size_reflex_count,size_horizontal_chord_count_h,size_vertical_chord_count_v,size_q,size_explicit_conflict_edge_count_k,size_biclique_count,size_biclique_total_vertex_occurrences_sigma,size_compressed_network_node_count,size_compressed_network_arc_count,size_optimum_rectangle_count,structure_rank_sort_count,structure_rank_map_entry_count,structure_rank_map_owned_bytes,structure_matching_size,structure_vertex_cover_size,structure_c0_network_node_count,structure_c0_network_arc_count,timing_input_loading_ns,timing_instance_generation_ns,timing_geometry_preprocessing_ns,timing_chord_generation_ns,timing_embedding_ns,timing_explicit_conflict_graph_ns,timing_biclique_construction_ns,timing_network_construction_ns,timing_matching_or_flow_ns,timing_vertex_cover_recovery_ns,timing_chord_selection_ns,timing_geometric_completion_ns,timing_rectangle_recovery_ns,timing_verification_ns,timing_total_in_process_solve_ns,paired_width,paired_height,paired_foreground_cells_n,paired_component_count,paired_boundary_size_b,paired_reflex_count,paired_horizontal_chord_count_h,paired_vertical_chord_count_v,paired_q,paired_explicit_conflict_edge_count_k,paired_biclique_count,paired_biclique_total_vertex_occurrences_sigma,paired_compressed_network_node_count,paired_compressed_network_arc_count,paired_optimum_rectangle_count
1,paper-scaling,sparse-conflict,explicit-hopcroft-karp,sg-oracle::grid::build_conflict_graph + Hopcroft-Karp + Konig cover + indexed completion,424242,90,1,sparse-conflict:424242:90:4,4,False,True,0,60.0,success,success,0,valid,,,44312042,43599626,181,5,725,1,364,180,88,0,88,0,0,0,,,93,,,,0,0,,,0,8791,479833,20542,,3166,,,5708,3084,208,138083,16250,24917,712416,,,,,364,180,,,88,0,0,0,90,88,
1,paper-scaling,sparse-conflict,explicit-c0-flow,DominanceEmbedding::explicit_graph + C0 edge bicliques + explicit flow construction/execution/cover recovery + indexed completion,424242,90,1,sparse-conflict:424242:90:4,4,False,True,1,60.0,success,success,0,valid,,,41614958,41141125,181,5,725,1,364,180,88,0,88,0,0,0,90,88,93,0,0,0,0,0,90,88,0,7458,296250,16833,5334,1834,5666,5875,11959,417,208,80958,16125,17167,473833,,,,,364,180,,,88,0,0,0,90,88,
1,paper-scaling,sparse-conflict,compact-mrd,dominance::biclique::experiment::construct + compressed flow construction/execution/cover recovery + indexed completion,424242,90,1,sparse-conflict:424242:90:4,4,False,True,2,60.0,success,success,0,valid,,,40465125,39899416,181,5,725,1,364,180,88,0,88,,0,0,90,88,93,0,0,0,0,0,,,0,6959,359166,18584,5500,,14375,6583,13667,834,83,96666,11709,20333,565709,,,,,364,180,,,88,0,0,0,90,88,
1,paper-scaling,sparse-conflict,exact-cover-oracle,exact-cover-oracle::solve (bitset branch-and-bound; predeclared cell limit),424242,90,1,sparse-conflict:424242:90:4,4,False,True,3,60.0,unsupported,unsupported,0,unsupported,foreground cell count 725 exceeds oracle limit 40,,40092834,,181,5,725,1,364,180,,,,,,,,,,,,,,,,,0,7417,,,,,,,,,,,,,,,,,,364,180,,,88,0,0,0,90,88,
1,paper-scaling,sparse-conflict,explicit-hopcroft-karp,sg-oracle::grid::build_conflict_graph + Hopcroft-Karp + Konig cover + indexed completion,424242,90,1,sparse-conflict:424242:90:5,5,False,True,0,60.0,success,success,0,valid,,,40232750,39785625,181,5,725,1,364,180,88,0,88,0,0,0,,,93,,,,0,0,,,0,7875,301500,14416,,2667,,,4375,2375,208,79125,10125,17833,447125,,,,,364,180,,,88,0,0,0,90,88,
1,paper-scaling,sparse-conflict,explicit-c0-flow,DominanceEmbedding::explicit_graph + C0 edge bicliques + explicit flow construction/execution/cover recovery + indexed completion,424242,90,1,sparse-conflict:424242:90:5,5,False,True,1,60.0,success,success,0,valid,,,40820583,40346750,181,5,725,1,364,180,88,0,88,0,0,0,90,88,93,0,0,0,0,0,90,88,0,7042,306250,14916,5166,1792,5041,5917,10750,292,209,82292,10708,15875,473833,,,,,364,180,,,88,0,0,0,90,88,
1,paper-scaling,sparse-conflict,compact-mrd,dominance::biclique::experiment::construct + compressed flow construction/execution/cover recovery + indexed completion,424242,90,1,sparse-conflict:424242:90:5,5,False,True,2,60.0,success,success,0,valid,,,40742500,40266250,181,5,725,1,364,180,88,0,88,,0,0,90,88,93,0,0,0,0,0,,,0,7208,295917,14000,5667,,13750,11666,11875,542,125,81708,9875,16166,476250,,,,,364,180,,,88,0,0,0,90,88,
1,paper-scaling,sparse-conflict,exact-cover-oracle,exact-cover-oracle::solve (bitset branch-and-bound; predeclared cell limit),424242,90,1,sparse-conflict:424242:90:5,5,False,True,3,60.0,unsupported,unsupported,0,unsupported,foreground cell count 725 exceeds oracle limit 40,,40200959,,181,5,725,1,364,180,,,,,,,,,,,,,,,,,0,7292,,,,,,,,,,,,,,,,,,364,180,,,88,0,0,0,90,88,
1,paper-scaling,sparse-conflict,explicit-hopcroft-karp,sg-oracle::grid::build_conflict_graph + Hopcroft-Karp + Konig cover + indexed completion,424242,90,1,sparse-conflict:424242:90:6,6,False,True,0,60.0,success,success,0,valid,,,40994875,40552208,181,5,725,1,364,180,88,0,88,0,0,0,,,93,,,,0,0,,,0,7208,294042,15250,,2917,,,3750,2750,250,80084,11625,17208,442667,,,,,364,180,,,88,0,0,0,90,88,
1,paper-scaling,sparse-conflict,explicit-c0-flow,DominanceEmbedding::explicit_graph + C0 edge bicliques + explicit flow construction/execution/cover recovery + indexed completion,424242,90,1,sparse-conflict:424242:90:6,6,False,True,1,60.0,success,success,0,valid,,,42318209,41736500,181,5,725,1,364,180,88,0,88,0,0,0,90,88,93,0,0,0,0,0,90,88,0,8375,384666,18292,6166,2167,5625,5625,13833,500,208,96500,12208,18875,581709,,,,,364,180,,,88,0,0,0,90,88,
1,paper-scaling,sparse-conflict,compact-mrd,dominance::biclique::experiment::construct + compressed flow construction/execution/cover recovery + indexed completion,424242,90,1,sparse-conflict:424242:90:6,6,False,True,2,60.0,success,success,0,valid,,,41268042,40782333,181,5,725,1,364,180,88,0,88,,0,0,90,88,93,0,0,0,0,0,,,0,6958,307125,15542,4625,,13625,5834,12584,625,208,81291,10084,18125,485709,,,,,364,180,,,88,0,0,0,90,88,
1,paper-scaling,sparse-conflict,exact-cover-oracle,exact-cover-oracle::solve (bitset branch-and-bound; predeclared cell limit),424242,90,1,sparse-conflict:424242:90:6,6,False,True,3,60.0,unsupported,unsupported,0,unsupported,foreground cell count 725 exceeds oracle limit 40,,40520875,,181,5,725,1,364,180,,,,,,,,,,,,,,,,,0,7750,,,,,,,,,,,,,,,,,,364,180,,,88,0,0,0,90,88,
1,paper-scaling,sparse-conflict,explicit-hopcroft-karp,sg-oracle::grid::build_conflict_graph + Hopcroft-Karp + Konig cover + indexed completion,424242,90,1,sparse-conflict:424242:90:7,7,False,True,0,60.0,success,success,0,valid,,,41362333,40755333,181,5,725,1,364,180,88,0,88,0,0,0,,,93,,,,0,0,,,0,7583,373958,57292,,5417,,,6333,3083,250,109458,13792,20416,607000,,,,,364,180,,,88,0,0,0,90,88,
1,paper-scaling,sparse-conflict,explicit-c0-flow,DominanceEmbedding::explicit_graph + C0 edge bicliques + explicit flow construction/execution/cover recovery + indexed completion,424242,90,1,sparse-conflict:424242:90:7,7,False,True,1,60.0,success,success,0,valid,,,41796583,41332125,181,5,725,1,364,180,88,0,88,0,0,0,90,88,93,0,0,0,0,0,90,88,0,7250,297208,13875,4542,1791,6042,5292,12625,416,42,80208,10333,16958,464458,,,,,364,180,,,88,0,0,0,90,88,
1,paper-scaling,sparse-conflict,compact-mrd,dominance::biclique::experiment::construct + compressed flow construction/execution/cover recovery + indexed completion,424242,90,1,sparse-conflict:424242:90:7,7,False,True,2,60.0,success,success,0,valid,,,41508584,41030459,181,5,725,1,364,180,88,0,88,,0,0,90,88,93,0,0,0,0,0,,,0,7042,299542,16125,5500,,13917,6667,11167,500,208,81083,10834,16708,478125,,,,,364,180,,,88,0,0,0,90,88,
1,paper-scaling,sparse-conflict,exact-cover-oracle,exact-cover-oracle::solve (bitset branch-and-bound; predeclared cell limit),424242,90,1,sparse-conflict:424242:90:7,7,False,True,3,60.0,unsupported,unsupported,0,unsupported,foreground cell count 725 exceeds oracle limit 40,,40921000,,181,5,725,1,364,180,,,,,,,,,,,,,,,,,0,7458,,,,,,,,,,,,,,,,,,364,180,,,88,0,0,0,90,88,
1,paper-scaling,sparse-conflict,explicit-hopcroft-karp,sg-oracle::grid::build_conflict_graph + Hopcroft-Karp + Konig cover + indexed completion,424242,90,1,sparse-conflict:424242:90:8,8,False,True,0,60.0,success,success,0,valid,,,41078583,40627708,181,5,725,1,364,180,88,0,88,0,0,0,,,93,,,,0,0,,,0,7167,298584,16792,,2708,,,4458,1791,167,81459,11958,17417,450875,,,,,364,180,,,88,0,0,0,90,88,
1,paper-scaling,sparse-conflict,explicit-c0-flow,DominanceEmbedding::explicit_graph + C0 edge bicliques + explicit flow construction/execution/cover recovery + indexed completion,424242,90,1,sparse-conflict:424242:90:8,8,False,True,1,60.0,success,success,0,valid,,,41228834,40757834,181,5,725,1,364,180,88,0,88,0,0,0,90,88,93,0,0,0,0,0,90,88,0,6917,298209,15958,5833,1709,6375,8459,11917,375,125,80667,10583,16333,471000,,,,,364,180,,,88,0,0,0,90,88,
1,paper-scaling,sparse-conflict,compact-mrd,dominance::biclique::experiment::construct + compressed flow construction/execution/cover recovery + indexed completion,424242,90,1,sparse-conflict:424242:90:8,8,False,True,2,60.0,success,success,0,valid,,,41634958,41038124,181,5,725,1,364,180,88,0,88,,0,0,90,88,93,0,0,0,0,0,,,0,8958,411917,15625,5000,,15250,6583,14292,583,208,81916,10292,18875,596834,,,,,364,180,,,88,0,0,0,90,88,
1,paper-scaling,sparse-conflict,exact-cover-oracle,exact-cover-oracle::solve (bitset branch-and-bound; predeclared cell limit),424242,90,1,sparse-conflict:424242:90:8,8,False,True,3,60.0,unsupported,unsupported,0,unsupported,foreground cell count 725 exceeds oracle limit 40,,40227125,,181,5,725,1,364,180,,,,,,,,,,,,,,,,,0,8042,,,,,,,,,,,,,,,,,,364,180,,,88,0,0,0,90,88,
1,paper-scaling,sparse-conflict,explicit-hopcroft-karp,sg-oracle::grid::build_conflict_graph + Hopcroft-Karp + Konig cover + indexed completion,424242,90,1,sparse-conflict:424242:90:9,9,False,True,0,60.0,success,success,0,valid,,,40972791,40518916,181,5,725,1,364,180,88,0,88,0,0,0,,,93,,,,0,0,,,0,8000,303625,15292,,2791,,,4917,2125,167,79834,10791,18458,453875,,,,,364,180,,,88,0,0,0,90,88,
1,paper-scaling,sparse-conflict,explicit-c0-flow,DominanceEmbedding::explicit_graph + C0 edge bicliques + explicit flow construction/execution/cover recovery + indexed completion,424242,90,1,sparse-conflict:424242:90:9,9,False,True,1,60.0,success,success,0,valid,,,40827417,40361292,181,5,725,1,364,180,88,0,88,0,0,0,90,88,93,0,0,0,0,0,90,88,0,7625,294541,14667,6167,1958,5292,6000,11625,500,209,82375,10875,17166,466125,,,,,364,180,,,88,0,0,0,90,88,
1,paper-scaling,sparse-conflict,compact-mrd,dominance::biclique::experiment::construct + compressed flow construction/execution/cover recovery + indexed completion,424242,90,1,sparse-conflict:424242:90:9,9,False,True,2,60.0,success,success,0,valid,,,42086208,41476708,181,5,725,1,364,180,88,0,88,,0,0,90,88,93,0,0,0,0,0,,,0,8666,425750,19125,4750,,14000,6250,12125,542,208,81708,10167,18708,609500,,,,,364,180,,,88,0,0,0,90,88,
1,paper-scaling,sparse-conflict,exact-cover-oracle,exact-cover-oracle::solve (bitset branch-and-bound; predeclared cell limit),424242,90,1,sparse-conflict:424242:90:9,9,False,True,3,60.0,unsupported,unsupported,0,unsupported,foreground cell count 725 exceeds oracle limit 40,,40827833,,181,5,725,1,364,180,,,,,,,,,,,,,,,,,0,10250,,,,,,,,,,,,,,,,,,364,180,,,88,0,0,0,90,88,
1,paper-scaling,sparse-conflict,explicit-hopcroft-karp,sg-oracle::grid::build_conflict_graph + Hopcroft-Karp + Konig cover + indexed completion,424242,90,1,sparse-conflict:424242:90:10,10,False,True,0,60.0,success,success,0,valid,,,40630042,40172459,181,5,725,1,364,180,88,0,88,0,0,0,,,93,,,,0,0,,,0,7791,299750,16666,,3000,,,4625,1209,167,83250,10750,16791,457583,,,,,364,180,,,88,0,0,0,90,88,
1,paper-scaling,sparse-conflict,explicit-c0-flow,DominanceEmbedding::explicit_graph + C0 edge bicliques + explicit flow construction/execution/cover recovery + indexed completion,424242,90,1,sparse-conflict:424242:90:10,10,False,True,1,60.0,success,success,0,valid,,,42089791,41614000,181,5,725,1,364,180,88,0,88,0,0,0,90,88,93,0,0,0,0,0,90,88,0,8333,303708,16208,5083,2542,7667,5750,12667,500,125,79375,10166,17084,475791,,,,,364,180,,,88,0,0,0,90,88,
1,paper-scaling,sparse-conflict,compact-mrd,dominance::biclique::experiment::construct + compressed flow construction/execution/cover recovery + indexed completion,424242,90,1,sparse-conflict:424242:90:10,10,False,True,2,60.0,success,success,0,valid,,,41290458,40792125,181,5,725,1,364,180,88,0,88,,0,0,90,88,93,0,0,0,0,0,,,0,7708,317500,16834,5334,,14500,6375,11958,542,125,80292,11083,17792,498333,,,,,364,180,,,88,0,0,0,90,88,
1,paper-scaling,sparse-conflict,exact-cover-oracle,exact-cover-oracle::solve (bitset branch-and-bound; predeclared cell limit),424242,90,1,sparse-conflict:424242:90:10,10,False,True,3,60.0,unsupported,unsupported,0,unsupported,foreground cell count 725 exceeds oracle limit 40,,41184375,,181,5,725,1,364,180,,,,,,,,,,,,,,,,,0,8125,,,,,,,,,,,,,,,,,,364,180,,,88,0,0,0,90,88,
1,paper-scaling,sparse-conflict,explicit-hopcroft-karp,sg-oracle::grid::build_conflict_graph + Hopcroft-Karp + Konig cover + indexed completion,424242,90,1,sparse-conflict:424242:90:11,11,False,True,0,60.0,success,success,0,valid,,,41375875,40892500,181,5,725,1,364,180,88,0,88,0,0,0,,,93,,,,0,0,,,0,8500,325833,15375,,3000,,,4583,2125,208,86208,12167,18458,483375,,,,,364,180,,,88,0,0,0,90,88,
