algorithm,binary_sha256,campaign,canonical_instance_identity,config_sha256,consumed_checksum,elapsed_ns,family,generator_parameter,host_architecture,host_binary_sha256,host_clock_resolution_ns,host_clock_source,host_compiler_profile,host_cpu_model,host_git_commit,host_git_dirty,host_logical_cpu_count,host_memory_pressure_note,host_operating_system,host_power_source,host_rustc_version,host_turbo_or_power_mode,iteration,matching_size,optimum_rectangle_count,order_position,point_identity,point_state,sample_identity,scope,size_biclique_count,size_biclique_total_vertex_occurrences_sigma,size_boundary_size_b,size_component_count,size_compressed_network_arc_count,size_compressed_network_node_count,size_explicit_conflict_edge_count_k,size_foreground_cells_n,size_height,size_horizontal_chord_count_h,size_optimum_rectangle_count,size_q,size_reflex_count,size_vertical_chord_count_v,size_width,source_commit,structure_biclique_count,structure_biclique_incidence_sigma,structure_compact_arc_count,structure_compact_estimated_structural_bytes,structure_compact_node_count,structure_explicit_c0_arc_count,structure_explicit_c0_node_count,structure_explicit_estimated_structural_bytes,structure_explicit_graph_edge_count,structure_explicit_graph_node_count,structure_max_rss_delta_bytes,target_size,timing_biclique_construction_ns,timing_chord_generation_ns,timing_chord_selection_ns,timing_compressed_network_construction_ns,timing_embedding_ns,timing_explicit_conflict_construction_ns,timing_explicit_network_construction_ns,timing_geometry_preprocessing_ns,timing_matching_ns,timing_max_flow_ns,timing_rectangle_completion_recovery_ns,timing_scope_a_total_ns,timing_scope_b_total_ns,timing_verification_ns,timing_vertex_cover_recovery_ns,vertex_cover_size,witness_checksum
explicit-c0-flow,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,paper-kernel-scaling,998ccdbf4bfef667,cfb67e2f093a9523bd6f6bfc11de96f4ab63b35c2628f378e0c2aeb78edd9140,5867c8efb7ff3267,49708,random-connected,64,arm64,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,,std::time::Instant (platform monotonic high-resolution clock),workspace release profile,Apple M4,35b03a5a56c0ccb0fb20104115b710d12c7e6900,True,10,System-wide memory free percentage: 48%,macOS-26.5-arm64-arm-64bit-Mach-O,AC,rustc 1.89.0 (29483883e 2025-08-04),unknown,0,7,11,0,sha256:c43419f850b831148558cbd2b963c724217896b1ff62e48cc45c6e0fae209b72,complete,paper-kernel-scaling:random-connected:64:scope-a:explicit-c0-flow:0,solve-from-canonical-instance,17,40,40,1,55,34,25,64,16,7,11,15,18,8,16,35b03a5a56c0ccb0fb20104115b710d12c7e6900,17,40,55,1592,34,65,42,520,25,15,,64,,1250,42,,167,458,1083,21916,,3041,10458,49708,,1416,125,7,327b33d5a3579a64
compact-mrd,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,paper-kernel-scaling,998ccdbf4bfef667,cfb67e2f093a9523bd6f6bfc11de96f4ab63b35c2628f378e0c2aeb78edd9140,5867c8efb7ff3267,55208,random-connected,64,arm64,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,,std::time::Instant (platform monotonic high-resolution clock),workspace release profile,Apple M4,35b03a5a56c0ccb0fb20104115b710d12c7e6900,True,10,System-wide memory free percentage: 48%,macOS-26.5-arm64-arm-64bit-Mach-O,AC,rustc 1.89.0 (29483883e 2025-08-04),unknown,0,7,11,1,sha256:c43419f850b831148558cbd2b963c724217896b1ff62e48cc45c6e0fae209b72,complete,paper-kernel-scaling:random-connected:64:scope-a:compact-mrd:0,solve-from-canonical-instance,17,40,40,1,55,34,25,64,16,7,11,15,18,8,16,35b03a5a56c0ccb0fb20104115b710d12c7e6900,17,40,55,1592,34,65,42,520,25,15,,64,13583,1208,0,833,167,,,21875,,3042,10250,55208,,1416,84,7,327b33d5a3579a64
explicit-hopcroft-karp,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,paper-kernel-scaling,998ccdbf4bfef667,cfb67e2f093a9523bd6f6bfc11de96f4ab63b35c2628f378e0c2aeb78edd9140,5867c8efb7ff3267,36958,random-connected,64,arm64,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,,std::time::Instant (platform monotonic high-resolution clock),workspace release profile,Apple M4,35b03a5a56c0ccb0fb20104115b710d12c7e6900,True,10,System-wide memory free percentage: 48%,macOS-26.5-arm64-arm-64bit-Mach-O,AC,rustc 1.89.0 (29483883e 2025-08-04),unknown,0,7,11,2,sha256:c43419f850b831148558cbd2b963c724217896b1ff62e48cc45c6e0fae209b72,complete,paper-kernel-scaling:random-connected:64:scope-a:explicit-hopcroft-karp:0,solve-from-canonical-instance,17,40,40,1,55,34,25,64,16,7,11,15,18,8,16,35b03a5a56c0ccb0fb20104115b710d12c7e6900,17,40,55,1592,34,65,42,520,25,15,,64,,1208,0,,,417,,21417,375,,10167,36958,,1374,84,7,327b33d5a3579a64
explicit-hopcroft-karp,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,paper-kernel-scaling,998ccdbf4bfef667,cfb67e2f093a9523bd6f6bfc11de96f4ab63b35c2628f378e0c2aeb78edd9140,b717e8afa541a5d1,1084,random-connected,64,arm64,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,,std::time::Instant (platform monotonic high-resolution clock),workspace release profile,Apple M4,35b03a5a56c0ccb0fb20104115b710d12c7e6900,True,10,System-wide memory free percentage: 48%,macOS-26.5-arm64-arm-64bit-Mach-O,AC,rustc 1.89.0 (29483883e 2025-08-04),unknown,0,7,11,0,sha256:c43419f850b831148558cbd2b963c724217896b1ff62e48cc45c6e0fae209b72,complete,paper-kernel-scaling:random-connected:64:scope-b:explicit-hopcroft-karp:0,representation-and-solver-kernel,17,40,40,1,55,34,25,64,16,7,11,15,18,8,16,35b03a5a56c0ccb0fb20104115b710d12c7e6900,17,40,55,1592,34,65,42,520,25,15,,64,,,,,,417,,,291,,,,1084,,84,7,327b33d5a3579a64
explicit-c0-flow,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,paper-kernel-scaling,998ccdbf4bfef667,cfb67e2f093a9523bd6f6bfc11de96f4ab63b35c2628f378e0c2aeb78edd9140,b717e8afa541a5d1,13083,random-connected,64,arm64,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,,std::time::Instant (platform monotonic high-resolution clock),workspace release profile,Apple M4,35b03a5a56c0ccb0fb20104115b710d12c7e6900,True,10,System-wide memory free percentage: 48%,macOS-26.5-arm64-arm-64bit-Mach-O,AC,rustc 1.89.0 (29483883e 2025-08-04),unknown,0,7,11,1,sha256:c43419f850b831148558cbd2b963c724217896b1ff62e48cc45c6e0fae209b72,complete,paper-kernel-scaling:random-connected:64:scope-b:explicit-c0-flow:0,representation-and-solver-kernel,17,40,40,1,55,34,25,64,16,7,11,15,18,8,16,35b03a5a56c0ccb0fb20104115b710d12c7e6900,17,40,55,1592,34,65,42,520,25,15,,64,,,,,125,375,1167,,,3041,,,13083,,83,7,327b33d5a3579a64
compact-mrd,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,paper-kernel-scaling,998ccdbf4bfef667,cfb67e2f093a9523bd6f6bfc11de96f4ab63b35c2628f378e0c2aeb78edd9140,b717e8afa541a5d1,18625,random-connected,64,arm64,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,,std::time::Instant (platform monotonic high-resolution clock),workspace release profile,Apple M4,35b03a5a56c0ccb0fb20104115b710d12c7e6900,True,10,System-wide memory free percentage: 48%,macOS-26.5-arm64-arm-64bit-Mach-O,AC,rustc 1.89.0 (29483883e 2025-08-04),unknown,0,7,11,2,sha256:c43419f850b831148558cbd2b963c724217896b1ff62e48cc45c6e0fae209b72,complete,paper-kernel-scaling:random-connected:64:scope-b:compact-mrd:0,representation-and-solver-kernel,17,40,40,1,55,34,25,64,16,7,11,15,18,8,16,35b03a5a56c0ccb0fb20104115b710d12c7e6900,17,40,55,1592,34,65,42,520,25,15,,64,13500,,,792,167,,,,,3125,,,18625,,125,7,327b33d5a3579a64
compact-mrd,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,paper-kernel-scaling,998ccdbf4bfef667,cfb67e2f093a9523bd6f6bfc11de96f4ab63b35c2628f378e0c2aeb78edd9140,5867c8efb7ff3267,55750,random-connected,64,arm64,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,,std::time::Instant (platform monotonic high-resolution clock),workspace release profile,Apple M4,35b03a5a56c0ccb0fb20104115b710d12c7e6900,True,10,System-wide memory free percentage: 48%,macOS-26.5-arm64-arm-64bit-Mach-O,AC,rustc 1.89.0 (29483883e 2025-08-04),unknown,1,7,11,0,sha256:c43419f850b831148558cbd2b963c724217896b1ff62e48cc45c6e0fae209b72,complete,paper-kernel-scaling:random-connected:64:scope-a:compact-mrd:1,solve-from-canonical-instance,17,40,40,1,55,34,25,64,16,7,11,15,18,8,16,35b03a5a56c0ccb0fb20104115b710d12c7e6900,17,40,55,1592,34,65,42,520,25,15,,64,13542,1209,41,792,125,,,22667,,3084,10208,55750,,1417,83,7,327b33d5a3579a64
explicit-hopcroft-karp,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,paper-kernel-scaling,998ccdbf4bfef667,cfb67e2f093a9523bd6f6bfc11de96f4ab63b35c2628f378e0c2aeb78edd9140,5867c8efb7ff3267,38125,random-connected,64,arm64,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,,std::time::Instant (platform monotonic high-resolution clock),workspace release profile,Apple M4,35b03a5a56c0ccb0fb20104115b710d12c7e6900,True,10,System-wide memory free percentage: 48%,macOS-26.5-arm64-arm-64bit-Mach-O,AC,rustc 1.89.0 (29483883e 2025-08-04),unknown,1,7,11,1,sha256:c43419f850b831148558cbd2b963c724217896b1ff62e48cc45c6e0fae209b72,complete,paper-kernel-scaling:random-connected:64:scope-a:explicit-hopcroft-karp:1,solve-from-canonical-instance,17,40,40,1,55,34,25,64,16,7,11,15,18,8,16,35b03a5a56c0ccb0fb20104115b710d12c7e6900,17,40,55,1592,34,65,42,520,25,15,,64,,1208,41,,,416,,22583,334,,10125,38125,,1417,125,7,327b33d5a3579a64
explicit-c0-flow,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,paper-kernel-scaling,998ccdbf4bfef667,cfb67e2f093a9523bd6f6bfc11de96f4ab63b35c2628f378e0c2aeb78edd9140,5867c8efb7ff3267,49125,random-connected,64,arm64,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,,std::time::Instant (platform monotonic high-resolution clock),workspace release profile,Apple M4,35b03a5a56c0ccb0fb20104115b710d12c7e6900,True,10,System-wide memory free percentage: 48%,macOS-26.5-arm64-arm-64bit-Mach-O,AC,rustc 1.89.0 (29483883e 2025-08-04),unknown,1,7,11,2,sha256:c43419f850b831148558cbd2b963c724217896b1ff62e48cc45c6e0fae209b72,complete,paper-kernel-scaling:random-connected:64:scope-a:explicit-c0-flow:1,solve-from-canonical-instance,17,40,40,1,55,34,25,64,16,7,11,15,18,8,16,35b03a5a56c0ccb0fb20104115b710d12c7e6900,17,40,55,1592,34,65,42,520,25,15,,64,,1208,41,,167,416,1125,21625,,3083,10167,49125,,1416,83,7,327b33d5a3579a64
compact-mrd,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,paper-kernel-scaling,998ccdbf4bfef667,cfb67e2f093a9523bd6f6bfc11de96f4ab63b35c2628f378e0c2aeb78edd9140,b717e8afa541a5d1,20167,random-connected,64,arm64,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,,std::time::Instant (platform monotonic high-resolution clock),workspace release profile,Apple M4,35b03a5a56c0ccb0fb20104115b710d12c7e6900,True,10,System-wide memory free percentage: 48%,macOS-26.5-arm64-arm-64bit-Mach-O,AC,rustc 1.89.0 (29483883e 2025-08-04),unknown,1,7,11,0,sha256:c43419f850b831148558cbd2b963c724217896b1ff62e48cc45c6e0fae209b72,complete,paper-kernel-scaling:random-connected:64:scope-b:compact-mrd:1,representation-and-solver-kernel,17,40,40,1,55,34,25,64,16,7,11,15,18,8,16,35b03a5a56c0ccb0fb20104115b710d12c7e6900,17,40,55,1592,34,65,42,520,25,15,,64,13583,,,833,209,,,,,4375,,,20167,,125,7,327b33d5a3579a64
explicit-c0-flow,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,paper-kernel-scaling,998ccdbf4bfef667,cfb67e2f093a9523bd6f6bfc11de96f4ab63b35c2628f378e0c2aeb78edd9140,b717e8afa541a5d1,13084,random-connected,64,arm64,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,,std::time::Instant (platform monotonic high-resolution clock),workspace release profile,Apple M4,35b03a5a56c0ccb0fb20104115b710d12c7e6900,True,10,System-wide memory free percentage: 48%,macOS-26.5-arm64-arm-64bit-Mach-O,AC,rustc 1.89.0 (29483883e 2025-08-04),unknown,1,7,11,1,sha256:c43419f850b831148558cbd2b963c724217896b1ff62e48cc45c6e0fae209b72,complete,paper-kernel-scaling:random-connected:64:scope-b:explicit-c0-flow:1,representation-and-solver-kernel,17,40,40,1,55,34,25,64,16,7,11,15,18,8,16,35b03a5a56c0ccb0fb20104115b710d12c7e6900,17,40,55,1592,34,65,42,520,25,15,,64,,,,,167,416,1083,,,3041,,,13084,,125,7,327b33d5a3579a64
explicit-hopcroft-karp,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,paper-kernel-scaling,998ccdbf4bfef667,cfb67e2f093a9523bd6f6bfc11de96f4ab63b35c2628f378e0c2aeb78edd9140,b717e8afa541a5d1,1083,random-connected,64,arm64,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,,std::time::Instant (platform monotonic high-resolution clock),workspace release profile,Apple M4,35b03a5a56c0ccb0fb20104115b710d12c7e6900,True,10,System-wide memory free percentage: 48%,macOS-26.5-arm64-arm-64bit-Mach-O,AC,rustc 1.89.0 (29483883e 2025-08-04),unknown,1,7,11,2,sha256:c43419f850b831148558cbd2b963c724217896b1ff62e48cc45c6e0fae209b72,complete,paper-kernel-scaling:random-connected:64:scope-b:explicit-hopcroft-karp:1,representation-and-solver-kernel,17,40,40,1,55,34,25,64,16,7,11,15,18,8,16,35b03a5a56c0ccb0fb20104115b710d12c7e6900,17,40,55,1592,34,65,42,520,25,15,,64,,,,,,375,,,333,,,,1083,,83,7,327b33d5a3579a64
explicit-c0-flow,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,paper-kernel-scaling,998ccdbf4bfef667,cfb67e2f093a9523bd6f6bfc11de96f4ab63b35c2628f378e0c2aeb78edd9140,5867c8efb7ff3267,49167,random-connected,64,arm64,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,,std::time::Instant (platform monotonic high-resolution clock),workspace release profile,Apple M4,35b03a5a56c0ccb0fb20104115b710d12c7e6900,True,10,System-wide memory free percentage: 48%,macOS-26.5-arm64-arm-64bit-Mach-O,AC,rustc 1.89.0 (29483883e 2025-08-04),unknown,2,7,11,0,sha256:c43419f850b831148558cbd2b963c724217896b1ff62e48cc45c6e0fae209b72,complete,paper-kernel-scaling:random-connected:64:scope-a:explicit-c0-flow:2,solve-from-canonical-instance,17,40,40,1,55,34,25,64,16,7,11,15,18,8,16,35b03a5a56c0ccb0fb20104115b710d12c7e6900,17,40,55,1592,34,65,42,520,25,15,,64,,1250,42,,167,417,1083,21708,,3042,10291,49167,,1417,166,7,327b33d5a3579a64
explicit-hopcroft-karp,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,paper-kernel-scaling,998ccdbf4bfef667,cfb67e2f093a9523bd6f6bfc11de96f4ab63b35c2628f378e0c2aeb78edd9140,5867c8efb7ff3267,36875,random-connected,64,arm64,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,,std::time::Instant (platform monotonic high-resolution clock),workspace release profile,Apple M4,35b03a5a56c0ccb0fb20104115b710d12c7e6900,True,10,System-wide memory free percentage: 48%,macOS-26.5-arm64-arm-64bit-Mach-O,AC,rustc 1.89.0 (29483883e 2025-08-04),unknown,2,7,11,1,sha256:c43419f850b831148558cbd2b963c724217896b1ff62e48cc45c6e0fae209b72,complete,paper-kernel-scaling:random-connected:64:scope-a:explicit-hopcroft-karp:2,solve-from-canonical-instance,17,40,40,1,55,34,25,64,16,7,11,15,18,8,16,35b03a5a56c0ccb0fb20104115b710d12c7e6900,17,40,55,1592,34,65,42,520,25,15,,64,,1167,42,,,417,,21500,333,,10083,36875,,1417,84,7,327b33d5a3579a64
compact-mrd,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,paper-kernel-scaling,998ccdbf4bfef667,cfb67e2f093a9523bd6f6bfc11de96f4ab63b35c2628f378e0c2aeb78edd9140,5867c8efb7ff3267,55417,random-connected,64,arm64,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,,std::time::Instant (platform monotonic high-resolution clock),workspace release profile,Apple M4,35b03a5a56c0ccb0fb20104115b710d12c7e6900,True,10,System-wide memory free percentage: 48%,macOS-26.5-arm64-arm-64bit-Mach-O,AC,rustc 1.89.0 (29483883e 2025-08-04),unknown,2,7,11,2,sha256:c43419f850b831148558cbd2b963c724217896b1ff62e48cc45c6e0fae209b72,complete,paper-kernel-scaling:random-connected:64:scope-a:compact-mrd:2,solve-from-canonical-instance,17,40,40,1,55,34,25,64,16,7,11,15,18,8,16,35b03a5a56c0ccb0fb20104115b710d12c7e6900,17,40,55,1592,34,65,42,520,25,15,,64,13500,1250,42,792,125,,,22125,,3166,10250,55417,,1417,83,7,327b33d5a3579a64
compact-mrd,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,paper-kernel-scaling,998ccdbf4bfef667,cfb67e2f093a9523bd6f6bfc11de96f4ab63b35c2628f378e0c2aeb78edd9140,b717e8afa541a5d1,18583,random-connected,64,arm64,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,,std::time::Instant (platform monotonic high-resolution clock),workspace release profile,Apple M4,35b03a5a56c0ccb0fb20104115b710d12c7e6900,True,10,System-wide memory free percentage: 48%,macOS-26.5-arm64-arm-64bit-Mach-O,AC,rustc 1.89.0 (29483883e 2025-08-04),unknown,2,7,11,0,sha256:c43419f850b831148558cbd2b963c724217896b1ff62e48cc45c6e0fae209b72,complete,paper-kernel-scaling:random-connected:64:scope-b:compact-mrd:2,representation-and-solver-kernel,17,40,40,1,55,34,25,64,16,7,11,15,18,8,16,35b03a5a56c0ccb0fb20104115b710d12c7e6900,17,40,55,1592,34,65,42,520,25,15,,64,13458,,,792,166,,,,,3041,,,18583,,125,7,327b33d5a3579a64
explicit-hopcroft-karp,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,paper-kernel-scaling,998ccdbf4bfef667,cfb67e2f093a9523bd6f6bfc11de96f4ab63b35c2628f378e0c2aeb78edd9140,b717e8afa541a5d1,1000,random-connected,64,arm64,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,,std::time::Instant (platform monotonic high-resolution clock),workspace release profile,Apple M4,35b03a5a56c0ccb0fb20104115b710d12c7e6900,True,10,System-wide memory free percentage: 48%,macOS-26.5-arm64-arm-64bit-Mach-O,AC,rustc 1.89.0 (29483883e 2025-08-04),unknown,2,7,11,1,sha256:c43419f850b831148558cbd2b963c724217896b1ff62e48cc45c6e0fae209b72,complete,paper-kernel-scaling:random-connected:64:scope-b:explicit-hopcroft-karp:2,representation-and-solver-kernel,17,40,40,1,55,34,25,64,16,7,11,15,18,8,16,35b03a5a56c0ccb0fb20104115b710d12c7e6900,17,40,55,1592,34,65,42,520,25,15,,64,,,,,,417,,,291,,,,1000,,84,7,327b33d5a3579a64
explicit-c0-flow,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,paper-kernel-scaling,998ccdbf4bfef667,cfb67e2f093a9523bd6f6bfc11de96f4ab63b35c2628f378e0c2aeb78edd9140,b717e8afa541a5d1,13083,random-connected,64,arm64,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,,std::time::Instant (platform monotonic high-resolution clock),workspace release profile,Apple M4,35b03a5a56c0ccb0fb20104115b710d12c7e6900,True,10,System-wide memory free percentage: 48%,macOS-26.5-arm64-arm-64bit-Mach-O,AC,rustc 1.89.0 (29483883e 2025-08-04),unknown,2,7,11,2,sha256:c43419f850b831148558cbd2b963c724217896b1ff62e48cc45c6e0fae209b72,complete,paper-kernel-scaling:random-connected:64:scope-b:explicit-c0-flow:2,representation-and-solver-kernel,17,40,40,1,55,34,25,64,16,7,11,15,18,8,16,35b03a5a56c0ccb0fb20104115b710d12c7e6900,17,40,55,1592,34,65,42,520,25,15,,64,,,,,166,375,1125,,,3041,,,13083,,125,7,327b33d5a3579a64
compact-mrd,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,paper-kernel-scaling,998ccdbf4bfef667,cfb67e2f093a9523bd6f6bfc11de96f4ab63b35c2628f378e0c2aeb78edd9140,5867c8efb7ff3267,55084,random-connected,64,arm64,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,,std::time::Instant (platform monotonic high-resolution clock),workspace release profile,Apple M4,35b03a5a56c0ccb0fb20104115b710d12c7e6900,True,10,System-wide memory free percentage: 48%,macOS-26.5-arm64-arm-64bit-Mach-O,AC,rustc 1.89.0 (29483883e 2025-08-04),unknown,3,7,11,0,sha256:c43419f850b831148558cbd2b963c724217896b1ff62e48cc45c6e0fae209b72,complete,paper-kernel-scaling:random-connected:64:scope-a:compact-mrd:3,solve-from-canonical-instance,17,40,40,1,55,34,25,64,16,7,11,15,18,8,16,35b03a5a56c0ccb0fb20104115b710d12c7e6900,17,40,55,1592,34,65,42,520,25,15,,64,13417,1250,0,833,166,,,22042,,3000,10208,55084,,1500,125,7,327b33d5a3579a64
explicit-hopcroft-karp,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,paper-kernel-scaling,998ccdbf4bfef667,cfb67e2f093a9523bd6f6bfc11de96f4ab63b35c2628f378e0c2aeb78edd9140,5867c8efb7ff3267,35542,random-connected,64,arm64,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,,std::time::Instant (platform monotonic high-resolution clock),workspace release profile,Apple M4,35b03a5a56c0ccb0fb20104115b710d12c7e6900,True,10,System-wide memory free percentage: 48%,macOS-26.5-arm64-arm-64bit-Mach-O,AC,rustc 1.89.0 (29483883e 2025-08-04),unknown,3,7,11,1,sha256:c43419f850b831148558cbd2b963c724217896b1ff62e48cc45c6e0fae209b72,complete,paper-kernel-scaling:random-connected:64:scope-a:explicit-hopcroft-karp:3,solve-from-canonical-instance,17,40,40,1,55,34,25,64,16,7,11,15,18,8,16,35b03a5a56c0ccb0fb20104115b710d12c7e6900,17,40,55,1592,34,65,42,520,25,15,,64,,1375,41,,,375,,20083,334,,10042,35542,,1416,125,7,327b33d5a3579a64
explicit-c0-flow,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,paper-kernel-scaling,998ccdbf4bfef667,cfb67e2f093a9523bd6f6bfc11de96f4ab63b35c2628f378e0c2aeb78edd9140,5867c8efb7ff3267,50375,random-connected,64,arm64,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,,std::time::Instant (platform monotonic high-resolution clock),workspace release profile,Apple M4,35b03a5a56c0ccb0fb20104115b710d12c7e6900,True,10,System-wide memory free percentage: 48%,macOS-26.5-arm64-arm-64bit-Mach-O,AC,rustc 1.89.0 (29483883e 2025-08-04),unknown,3,7,11,2,sha256:c43419f850b831148558cbd2b963c724217896b1ff62e48cc45c6e0fae209b72,complete,paper-kernel-scaling:random-connected:64:scope-a:explicit-c0-flow:3,solve-from-canonical-instance,17,40,40,1,55,34,25,64,16,7,11,15,18,8,16,35b03a5a56c0ccb0fb20104115b710d12c7e6900,17,40,55,1592,34,65,42,520,25,15,,64,,1208,41,,125,417,1125,23000,,2958,10125,50375,,1416,167,7,327b33d5a3579a64
explicit-c0-flow,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,paper-kernel-scaling,998ccdbf4bfef667,cfb67e2f093a9523bd6f6bfc11de96f4ab63b35c2628f378e0c2aeb78edd9140,b717e8afa541a5d1,12833,random-connected,64,arm64,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,,std::time::Instant (platform monotonic high-resolution clock),workspace release profile,Apple M4,35b03a5a56c0ccb0fb20104115b710d12c7e6900,True,10,System-wide memory free percentage: 48%,macOS-26.5-arm64-arm-64bit-Mach-O,AC,rustc 1.89.0 (29483883e 2025-08-04),unknown,3,7,11,0,sha256:c43419f850b831148558cbd2b963c724217896b1ff62e48cc45c6e0fae209b72,complete,paper-kernel-scaling:random-connected:64:scope-b:explicit-c0-flow:3,representation-and-solver-kernel,17,40,40,1,55,34,25,64,16,7,11,15,18,8,16,35b03a5a56c0ccb0fb20104115b710d12c7e6900,17,40,55,1592,34,65,42,520,25,15,,64,,,,,167,417,1083,,,2958,,,12833,,125,7,327b33d5a3579a64
compact-mrd,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,paper-kernel-scaling,998ccdbf4bfef667,cfb67e2f093a9523bd6f6bfc11de96f4ab63b35c2628f378e0c2aeb78edd9140,b717e8afa541a5d1,18459,random-connected,64,arm64,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,,std::time::Instant (platform monotonic high-resolution clock),workspace release profile,Apple M4,35b03a5a56c0ccb0fb20104115b710d12c7e6900,True,10,System-wide memory free percentage: 48%,macOS-26.5-arm64-arm-64bit-Mach-O,AC,rustc 1.89.0 (29483883e 2025-08-04),unknown,3,7,11,1,sha256:c43419f850b831148558cbd2b963c724217896b1ff62e48cc45c6e0fae209b72,complete,paper-kernel-scaling:random-connected:64:scope-b:compact-mrd:3,representation-and-solver-kernel,17,40,40,1,55,34,25,64,16,7,11,15,18,8,16,35b03a5a56c0ccb0fb20104115b710d12c7e6900,17,40,55,1592,34,65,42,520,25,15,,64,13458,,,791,167,,,,,3000,,,18459,,125,7,327b33d5a3579a64
explicit-hopcroft-karp,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,paper-kernel-scaling,998ccdbf4bfef667,cfb67e2f093a9523bd6f6bfc11de96f4ab63b35c2628f378e0c2aeb78edd9140,b717e8afa541a5d1,958,random-connected,64,arm64,c73399f8142839413b550dfa725f01a2c50afa1fd233696d02425bd6e277e4a7,,std::time::Instant (platform monotonic high-resolution clock),workspace release profile,Apple M4,35b03a5a56c0ccb0fb20104115b710d12c7e6900,True,10,System-wide memory free percentage: 48%,macOS-26.5-arm64-arm-64bit-Mach-O,AC,rustc 1.89.0 (29483883e 2025-08-04),unknown,3,7,11,2,sha256:c43419f850b831148558cbd2b963c724217896b1ff62e48cc45c6e0fae209b72,complete,paper-kernel-scaling:random-connected:64:scope-b:explicit-hopcroft-karp:3,representation-and-solver-kernel,17,40,40,1,55,34,25,64,16,7,11,15,18,8,16,35b03a5a56c0ccb0fb20104115b710d12c7e6900,17,40,55,1592,34,65,42,520,25,15,,64,,,,,,375,,,291,,,,958,,84,7,327b33d5a3579a64
