family,family_name,size,boundary_complexity,hole_count,reflex_count,aligned_candidate_count,chord_count,selected_horizontal_cut_count,selected_vertical_cut_count,added_horizontal_cut_count,added_vertical_cut_count,reference_microseconds,indexed_microseconds,optimum_equal,cuts_equal,rectangles_equal,reference_boundary_edge_visits,indexed_boundary_edge_visits,reference_definition7_full_boundary_scans,indexed_definition7_full_boundary_scans,reference_completion_candidate_rebuilds,indexed_completion_candidate_rebuilds,reference_completion_cut_pair_tests,indexed_completion_cut_pair_tests,reference_completion_full_boundary_scans,indexed_completion_full_boundary_scans,reference_completion_full_cut_scans,indexed_completion_full_cut_scans,reference_arrangement_boundary_edge_visits,indexed_arrangement_boundary_edge_visits,reference_validator_rectangle_cell_tests,indexed_validator_rectangle_cell_tests,reference_prepare_owned_bytes,indexed_prepare_owned_bytes,reference_owned_allocations,indexed_owned_allocations,status,message
C,hole-heavy,2,12,2,8,16,2,2,0,4,0,35,25,true,true,true,192,0,16,0,6,0,0,0,4,0,4,0,0,10,0,0,2520,2520,"{""polygon_arrangement"":0,""polygon_prepared_context"":2520}","{""polygon_arrangement"":133,""polygon_prepared_context"":2520}",verified,
D,completion-heavy,2,36,0,16,16,8,0,4,8,0,193,68,true,true,true,576,0,16,0,10,0,176,0,8,0,8,0,0,30,0,0,7480,7480,"{""polygon_arrangement"":0,""polygon_prepared_context"":7480}","{""polygon_arrangement"":421,""polygon_prepared_context"":7480}",verified,
E,arrangement-heavy,2,20,0,8,4,0,0,0,8,0,68,33,true,true,true,80,0,4,0,10,0,0,0,8,0,8,0,0,30,0,0,4376,4376,"{""polygon_arrangement"":0,""polygon_prepared_context"":4376}","{""polygon_arrangement"":277,""polygon_prepared_context"":4376}",verified,
F,huge-coordinate,2,36,0,16,16,8,0,4,8,0,167,56,true,true,true,576,0,16,0,10,0,176,0,8,0,8,0,0,30,0,0,7480,7480,"{""polygon_arrangement"":0,""polygon_prepared_context"":7480}","{""polygon_arrangement"":421,""polygon_prepared_context"":7480}",verified,
G,clean-path-tree,2,36,0,16,16,8,0,4,8,0,158,49,true,true,true,576,0,16,0,10,0,176,0,8,0,8,0,0,30,0,0,7480,7480,"{""polygon_arrangement"":0,""polygon_prepared_context"":7480}","{""polygon_arrangement"":421,""polygon_prepared_context"":7480}",verified,
H,non-clean-fallback,2,12,2,8,12,1,1,0,6,0,37,24,true,true,true,144,0,12,0,8,0,0,0,6,0,6,0,0,12,0,0,2640,2640,"{""polygon_arrangement"":0,""polygon_prepared_context"":2640}","{""polygon_arrangement"":157,""polygon_prepared_context"":2640}",verified,
A,boundary-heavy,4,20,0,8,4,0,0,0,8,0,60,32,true,true,true,80,0,4,0,10,0,0,0,8,0,8,0,0,30,0,0,4376,4376,"{""polygon_arrangement"":0,""polygon_prepared_context"":4376}","{""polygon_arrangement"":277,""polygon_prepared_context"":4376}",verified,
B,aligned-reflex-heavy,4,68,0,32,128,28,0,14,4,0,388,138,true,true,true,8704,0,128,0,6,0,196,0,4,0,4,0,0,38,0,0,13576,13576,"{""polygon_arrangement"":0,""polygon_prepared_context"":13576}","{""polygon_arrangement"":577,""polygon_prepared_context"":13576}",verified,
C,hole-heavy,4,20,4,16,64,6,6,0,4,0,72,36,true,true,true,1280,0,64,0,6,0,0,0,4,0,4,0,0,14,0,0,4296,4296,"{""polygon_arrangement"":0,""polygon_prepared_context"":4296}","{""polygon_arrangement"":205,""polygon_prepared_context"":4296}",verified,
D,completion-heavy,4,68,0,32,32,16,0,8,16,0,827,130,true,true,true,2176,0,32,0,18,0,1216,0,16,0,16,0,0,74,0,0,14328,14328,"{""polygon_arrangement"":0,""polygon_prepared_context"":14328}","{""polygon_arrangement"":1189,""polygon_prepared_context"":14328}",verified,
E,arrangement-heavy,4,36,0,16,8,0,0,0,16,0,255,69,true,true,true,288,0,8,0,18,0,0,0,16,0,16,0,0,90,0,0,8376,8376,"{""polygon_arrangement"":0,""polygon_prepared_context"":8376}","{""polygon_arrangement"":709,""polygon_prepared_context"":8376}",verified,
F,huge-coordinate,4,68,0,32,32,16,0,8,16,0,826,115,true,true,true,2176,0,32,0,18,0,1216,0,16,0,16,0,0,74,0,0,14328,14328,"{""polygon_arrangement"":0,""polygon_prepared_context"":14328}","{""polygon_arrangement"":1189,""polygon_prepared_context"":14328}",verified,
G,clean-path-tree,4,68,0,32,32,16,0,8,16,0,782,103,true,true,true,2176,0,32,0,18,0,1216,0,16,0,16,0,0,74,0,0,14328,14328,"{""polygon_arrangement"":0,""polygon_prepared_context"":14328}","{""polygon_arrangement"":1189,""polygon_prepared_context"":14328}",verified,
H,non-clean-fallback,4,20,4,16,28,3,3,0,10,0,105,42,true,true,true,560,0,28,0,12,0,0,0,10,0,10,0,0,20,0,0,4464,4464,"{""polygon_arrangement"":0,""polygon_prepared_context"":4464}","{""polygon_arrangement"":313,""polygon_prepared_context"":4464}",verified,
A,boundary-heavy,8,36,0,16,8,0,0,0,16,0,244,58,true,true,true,288,0,8,0,18,0,0,0,16,0,16,0,0,90,0,0,8376,8376,"{""polygon_arrangement"":0,""polygon_prepared_context"":8376}","{""polygon_arrangement"":709,""polygon_prepared_context"":8376}",verified,
B,aligned-reflex-heavy,8,132,0,64,512,60,0,30,4,0,1320,303,true,true,true,67584,0,512,0,6,0,420,0,4,0,4,0,0,70,0,0,26152,26152,"{""polygon_arrangement"":0,""polygon_prepared_context"":26152}","{""polygon_arrangement"":1441,""polygon_prepared_context"":26152}",verified,
C,hole-heavy,8,36,8,32,256,14,14,0,4,0,167,67,true,true,true,9216,0,256,0,6,0,0,0,4,0,4,0,0,22,0,0,7784,7784,"{""polygon_arrangement"":0,""polygon_prepared_context"":7784}","{""polygon_arrangement"":349,""polygon_prepared_context"":7784}",verified,
D,completion-heavy,8,132,0,64,64,32,0,16,32,0,5085,279,true,true,true,8448,0,64,0,34,0,8960,0,32,0,32,0,0,210,0,0,28472,28472,"{""polygon_arrangement"":0,""polygon_prepared_context"":28472}","{""polygon_arrangement"":3877,""polygon_prepared_context"":28472}",verified,
E,arrangement-heavy,8,68,0,32,16,0,0,0,32,0,1423,154,true,true,true,1088,0,16,0,34,0,0,0,32,0,32,0,0,306,0,0,16760,16760,"{""polygon_arrangement"":0,""polygon_prepared_context"":16760}","{""polygon_arrangement"":2149,""polygon_prepared_context"":16760}",verified,
F,huge-coordinate,8,132,0,64,64,32,0,16,32,0,4909,295,true,true,true,8448,0,64,0,34,0,8960,0,32,0,32,0,0,210,0,0,28472,28472,"{""polygon_arrangement"":0,""polygon_prepared_context"":28472}","{""polygon_arrangement"":3877,""polygon_prepared_context"":28472}",verified,
G,clean-path-tree,8,132,0,64,64,32,0,16,32,0,4990,269,true,true,true,8448,0,64,0,34,0,8960,0,32,0,32,0,0,210,0,0,28472,28472,"{""polygon_arrangement"":0,""polygon_prepared_context"":28472}","{""polygon_arrangement"":3877,""polygon_prepared_context"":28472}",verified,
H,non-clean-fallback,8,36,8,32,60,7,7,0,18,0,425,90,true,true,true,2160,0,60,0,20,0,0,0,18,0,18,0,0,36,0,0,8176,8176,"{""polygon_arrangement"":0,""polygon_prepared_context"":8176}","{""polygon_arrangement"":769,""polygon_prepared_context"":8176}",verified,
A,boundary-heavy,16,68,0,32,16,0,0,0,32,0,1345,144,true,true,true,1088,0,16,0,34,0,0,0,32,0,32,0,0,306,0,0,16760,16760,"{""polygon_arrangement"":0,""polygon_prepared_context"":16760}","{""polygon_arrangement"":2149,""polygon_prepared_context"":16760}",verified,
B,aligned-reflex-heavy,16,260,0,128,2048,124,0,62,4,0,5641,737,true,true,true,532480,0,2048,0,6,0,868,0,4,0,4,0,0,134,0,0,51432,51432,"{""polygon_arrangement"":0,""polygon_prepared_context"":51432}","{""polygon_arrangement"":4321,""polygon_prepared_context"":51432}",verified,
C,hole-heavy,16,68,16,64,1024,30,30,0,4,0,521,161,true,true,true,69632,0,1024,0,6,0,0,0,4,0,4,0,0,38,0,0,14760,14760,"{""polygon_arrangement"":0,""polygon_prepared_context"":14760}","{""polygon_arrangement"":637,""polygon_prepared_context"":14760}",verified,
D,completion-heavy,16,260,0,128,128,64,0,32,64,0,35060,685,true,true,true,33280,0,128,0,66,0,68608,0,64,0,64,0,0,674,0,0,57720,57720,"{""polygon_arrangement"":0,""polygon_prepared_context"":57720}","{""polygon_arrangement"":13861,""polygon_prepared_context"":57720}",verified,
E,arrangement-heavy,16,132,0,64,32,0,0,0,64,0,9418,387,true,true,true,4224,0,32,0,66,0,0,0,64,0,64,0,0,1122,0,0,34424,34424,"{""polygon_arrangement"":0,""polygon_prepared_context"":34424}","{""polygon_arrangement"":7333,""polygon_prepared_context"":34424}",verified,
F,huge-coordinate,16,132,0,64,64,32,0,16,32,0,5561,399,true,true,true,8448,0,64,0,34,0,8960,0,32,0,32,0,0,210,0,0,28472,28472,"{""polygon_arrangement"":0,""polygon_prepared_context"":28472}","{""polygon_arrangement"":3877,""polygon_prepared_context"":28472}",verified,
G,clean-path-tree,16,260,0,128,128,64,0,32,64,0,38349,707,true,true,true,33280,0,128,0,66,0,68608,0,64,0,64,0,0,674,0,0,57720,57720,"{""polygon_arrangement"":0,""polygon_prepared_context"":57720}","{""polygon_arrangement"":13861,""polygon_prepared_context"":57720}",verified,
H,non-clean-fallback,16,68,16,64,124,15,15,0,34,0,2386,176,true,true,true,8432,0,124,0,36,0,0,0,34,0,34,0,0,68,0,0,15536,15536,"{""polygon_arrangement"":0,""polygon_prepared_context"":15536}","{""polygon_arrangement"":2257,""polygon_prepared_context"":15536}",verified,
