family,family_name,size,boundary_complexity,hole_count,reflex_count,aligned_candidate_count,chord_count,candidate_output_ratio_numerator,candidate_output_ratio_denominator,selected_horizontal_cut_count,selected_vertical_cut_count,added_horizontal_cut_count,added_vertical_cut_count,coordinate_x_count,coordinate_y_count,coordinate_cartesian_product,sparse_subdivision_vertices,sparse_subdivision_half_edges,sparse_subdivision_junctions,sparse_subdivision_interior_faces,dense_owned_bytes_estimate,sparse_owned_bytes_estimate,cut_index_owned_bytes_estimate,completion_microseconds,recovery_microseconds,validation_microseconds,reference_microseconds,indexed_microseconds,sweep_microseconds,subdivision_input_segment_count,subdivision_reported_intersections,reference_subdivision_candidate_pair_tests,sweep_subdivision_candidate_pair_tests,reference_subdivision_recovery_microseconds,sweep_subdivision_recovery_microseconds,dense_recovery_microseconds,reference_validator_microseconds,event_validator_microseconds,dense_validator_microseconds,reference_validator_boundary_edge_scans,reference_validator_active_rectangle_resorts,event_validator_boundary_edge_scans,event_validator_active_rectangle_resorts,sparse_materialized_tree_nodes,sparse_logical_tree_nodes,geometry_backends_equal,auto_selected_backend,actual_fastest_recovery_backend,auto_time_regret_microseconds,auto_memory_regret_bytes,reference_pair_iterations,indexed_pair_iterations,sweep_event_count,sweep_status_operations,sweep_output_record_count,chord_families_equal,optimum_equal,cuts_equal,rectangles_equal,three_backend_equal,reference_boundary_edge_visits,indexed_boundary_edge_visits,reference_definition7_full_boundary_scans,indexed_definition7_full_boundary_scans,sweep_aligned_pair_iterations,sweep_all_pair_iterations,sweep_definition7_fallback_checks,sweep_full_boundary_scans,sweep_duplicate_output_count,reference_completion_candidate_rebuilds,indexed_completion_candidate_rebuilds,reference_completion_cut_pair_tests,indexed_completion_cut_pair_tests,reference_completion_full_boundary_scans,indexed_completion_full_boundary_scans,reference_completion_full_cut_scans,indexed_completion_full_cut_scans,reference_arrangement_boundary_edge_visits,indexed_arrangement_boundary_edge_visits,reference_validator_rectangle_cell_tests,indexed_validator_rectangle_cell_tests,reference_prepare_owned_bytes,indexed_prepare_owned_bytes,sweep_prepare_owned_bytes,reference_owned_allocations,indexed_owned_allocations,sweep_owned_allocations,status,message
v1.3-A,range-dense-intersection-sparse,32,516,0,256,8192,252,8192,252,0,126,4,0,68,68,4624,520,1300,260,131,51681,149504,23296,354,432,58,24563,2457,2257,646,776,13704,0,402,417,67,42,54,15,17286,67,0,0,60,544,true,dense-arrangement,dense-arrangement,4,0,32640,8192,1544,1544,252,true,true,true,true,true,4227072,0,8192,0,0,0,0,0,0,6,0,1764,0,4,0,4,0,0,0,0,0,101992,101992,101992,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":101992,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":23296,""polygon_prepared_context"":101992,""polygon_sparse_subdivision"":149504}","{""polygon_arrangement"":0,""polygon_cut_index"":23296,""polygon_prepared_context"":101992,""polygon_sparse_subdivision"":149504}",verified,
v1.3-B,intersection-dense,32,516,0,256,256,128,256,128,0,64,128,0,130,130,16900,644,1672,384,193,187461,186640,32752,791,599,91,247486,2275,2456,708,900,9860,0,545,563,183,117,87,46,33282,129,0,0,130,1040,true,dense-arrangement,dense-arrangement,0,0,32640,256,1544,1544,128,true,true,true,true,true,132096,0,256,0,0,0,0,0,0,130,0,536576,0,128,0,128,0,0,0,0,0,118200,118200,118200,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":118200,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":32752,""polygon_prepared_context"":118200,""polygon_sparse_subdivision"":186640}","{""polygon_arrangement"":0,""polygon_cut_index"":32752,""polygon_prepared_context"":118200,""polygon_sparse_subdivision"":186640}",verified,
v1.3-C,validator-active-heavy,32,132,32,128,4096,62,4096,62,62,0,4,0,66,4,264,136,404,132,35,3325,48544,8664,68,127,13,1962,575,462,198,264,392,0,102,119,14,20,11,1,4290,65,0,0,45,536,true,dense-arrangement,dense-arrangement,0,0,8128,4096,520,520,62,true,true,true,true,true,540672,0,4096,0,0,0,0,0,0,6,0,0,0,4,0,4,0,0,0,0,0,28712,28712,28712,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":28712,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":8664,""polygon_prepared_context"":28712,""polygon_sparse_subdivision"":48544}","{""polygon_arrangement"":0,""polygon_cut_index"":8664,""polygon_prepared_context"":28712,""polygon_sparse_subdivision"":48544}",verified,
v1.3-D,validator-boundary-heavy,32,388,0,192,96,0,96,1,0,0,192,0,194,98,19012,580,1544,384,193,210885,172848,34440,891,529,68,180690,1726,1789,580,772,10084,0,498,502,234,123,65,70,37442,193,0,0,250,1944,true,dense-arrangement,dense-arrangement,0,0,18336,96,1160,1160,0,true,true,true,true,true,37248,0,96,0,0,0,0,0,0,194,0,0,0,192,0,192,0,0,0,0,0,108696,108696,108696,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":108696,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":34440,""polygon_prepared_context"":108696,""polygon_sparse_subdivision"":172848}","{""polygon_arrangement"":0,""polygon_cut_index"":34440,""polygon_prepared_context"":108696,""polygon_sparse_subdivision"":172848}",verified,
v1.3-E,sparse-tree-node-heavy,32,260,64,256,508,63,508,63,63,0,130,0,130,67,8710,390,1166,386,130,96993,132968,31888,652,391,47,99379,1509,1401,453,646,8966,0,364,353,96,125,48,27,16770,129,0,0,225,1352,true,dense-arrangement,dense-arrangement,0,0,32640,508,1032,1032,63,true,true,true,true,true,132080,0,508,0,0,0,0,0,0,132,0,0,0,130,0,130,0,0,0,0,0,59568,59568,59568,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":59568,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":31888,""polygon_prepared_context"":59568,""polygon_sparse_subdivision"":132968}","{""polygon_arrangement"":0,""polygon_cut_index"":31888,""polygon_prepared_context"":59568,""polygon_sparse_subdivision"":132968}",verified,
v1.3-F,dense-sparse-crossover,32,260,0,128,64,0,64,1,0,0,128,0,130,66,8580,388,1032,256,129,95557,119600,21560,546,341,43,56392,1091,1146,388,516,4676,0,380,326,122,70,41,26,16770,129,0,0,168,1304,true,dense-arrangement,dense-arrangement,0,0,8128,64,776,776,0,true,true,true,true,true,16640,0,64,0,0,0,0,0,0,130,0,0,0,128,0,128,0,0,0,0,0,71672,71672,71672,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":71672,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":21560,""polygon_prepared_context"":71672,""polygon_sparse_subdivision"":119600}","{""polygon_arrangement"":0,""polygon_cut_index"":21560,""polygon_prepared_context"":71672,""polygon_sparse_subdivision"":119600}",verified,
A,staircase-sparse,64,260,0,128,64,0,64,1,0,0,128,0,130,66,8580,388,1032,256,129,95557,119600,21560,572,360,39,56557,1144,1061,388,516,4676,0,310,308,122,70,41,29,16770,129,0,0,168,1304,true,dense-arrangement,dense-arrangement,0,0,8128,64,776,776,0,true,true,true,true,true,16640,0,64,0,0,0,0,0,0,130,0,0,0,128,0,128,0,0,0,0,0,71672,71672,71672,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":71672,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":21560,""polygon_prepared_context"":71672,""polygon_sparse_subdivision"":119600}","{""polygon_arrangement"":0,""polygon_cut_index"":21560,""polygon_prepared_context"":71672,""polygon_sparse_subdivision"":119600}",verified,
B,many-coordinates-few-faces,64,516,0,256,128,0,128,1,0,0,256,0,258,130,33540,772,2056,512,257,371269,238384,43896,1335,708,93,418017,2461,2499,772,1028,17540,0,680,672,399,192,91,83,66306,257,0,0,333,2584,true,dense-arrangement,dense-arrangement,0,0,32640,128,1544,1544,0,true,true,true,true,true,66048,0,128,0,0,0,0,0,0,258,0,0,0,256,0,256,0,0,0,0,0,150136,150136,150136,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":150136,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":43896,""polygon_prepared_context"":150136,""polygon_sparse_subdivision"":238384}","{""polygon_arrangement"":0,""polygon_cut_index"":43896,""polygon_prepared_context"":150136,""polygon_sparse_subdivision"":238384}",verified,
C,hole-coordinate-cross-product,64,260,64,256,16384,126,16384,126,126,0,4,0,130,4,520,264,788,260,67,6525,95136,17664,134,248,25,7953,1712,1062,390,520,776,0,238,234,26,51,24,2,16770,129,0,0,98,1040,true,dense-arrangement,dense-arrangement,0,0,32640,16384,1032,1032,126,true,true,true,true,true,4259840,0,16384,0,0,0,0,0,0,6,0,0,0,4,0,4,0,0,0,0,0,56616,56616,56616,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":56616,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":17664,""polygon_prepared_context"":56616,""polygon_sparse_subdivision"":95136}","{""polygon_arrangement"":0,""polygon_cut_index"":17664,""polygon_prepared_context"":56616,""polygon_sparse_subdivision"":95136}",verified,
D,completion-heavy,64,1028,0,512,512,256,512,256,0,128,256,0,258,258,66564,1284,3336,768,385,735301,372496,69168,1924,1177,182,1888281,5420,5628,1412,1796,36100,0,1118,1155,606,342,180,161,132098,257,0,0,258,2064,true,dense-arrangement,dense-arrangement,0,0,130816,512,3080,3080,256,true,true,true,true,true,526336,0,512,0,0,0,0,0,0,258,0,4243456,0,256,0,256,0,0,0,0,0,243192,243192,243192,"{""polygon_arrangement"":0,""polygon_cut_index"":0,""polygon_prepared_context"":243192,""polygon_sparse_subdivision"":0}","{""polygon_arrangement"":0,""polygon_cut_index"":69168,""polygon_prepared_context"":243192,""polygon_sparse_subdivision"":372496}","{""polygon_arrangement"":0,""polygon_cut_index"":69168,""polygon_prepared_context"":243192,""polygon_sparse_subdivision"":372496}",verified,
