git_commit,rustc_version,command,seed,timestamp,input_count,component_count,input_model,unsupported_input_features,instance_name,family,parameters,component_id,status,message,exact_cover_compared,cell_count,boundary_complexity,hole_count,reflex_vertex_count,horizontal_chord_count,vertical_chord_count,total_chord_count,effective_chord_enumerator,effective_chord_enumeration_microseconds,prepared_component_build_count,prepared_component_build_microseconds,boundary_index_build_count,boundary_index_build_microseconds,boundary_index_entries,boundary_index_owned_bytes,linear_boundary_vertex_lookup_count,gap_interval_membership_tests,gap_event_push_count,gap_event_pop_count,boundary_gap_label_backend,clean_endpoint_pair_comparisons,boundary_extraction_microseconds,reflex_grouping_microseconds,occupancy_bytes,horizontal_interior_run_count,vertical_interior_run_count,candidate_reflex_pair_count,emitted_chord_count,explicit_conflict_edge_count,edge_density_numerator,edge_density_denominator,biclique_count,biclique_total_vertex_occurrences,biclique_size_per_chord_numerator,biclique_size_per_chord_denominator,biclique_size_per_edge_numerator,biclique_size_per_edge_denominator,c0_network_vertex_count,c0_network_arc_count,compressed_network_vertex_count,compressed_network_arc_count,maximum_matching_size,minimum_vertex_cover_size,output_rectangle_count,completion_backend,conflict_representation,path_tree_orientation,path_tree_orientation_policy,dual_region_count,dual_tree_vertex_count,path_count,path_edge_incidence_count,total_path_length_metric,dual_tree_max_depth,dual_tree_max_branching_degree,heavy_chain_count,heavy_chain_interval_count,tree_edge_occurrences,theoretical_path_occurrence_bound,theoretical_tree_edge_occurrence_bound,canonical_segment_node_count,path_tree_sigma,four_d_sigma,selected_chord_cut_materialization_microseconds,horizontal_simple_chord_completion_microseconds,vertical_simple_chord_completion_microseconds,rectangle_recovery_microseconds,final_output_validation_microseconds,initial_horizontal_unit_cut_count,initial_vertical_unit_cut_count,completion_added_horizontal_unit_cuts,completion_added_vertical_unit_cuts,horizontal_simple_chord_count,vertical_simple_chord_count,completion_candidate_queries,completion_full_grid_scans,completion_candidate_revalidations,completion_stale_candidates,completion_ray_extension_unit_steps,rectangle_recovery_component_visits,rectangle_recovery_queue_pushes,rectangle_recovery_region_count,rectangle_recovery_allocations,c0_phase_microseconds,compressed_phase_microseconds,compact_only_phase_microseconds,peak_memory_bytes,owned_allocation_estimates,region_dual_backend,region_dual_construction_microseconds,dual_tree_edge_count,dual_allocated_bytes,dual_unit_cut_count,dual_area_cell_visits,dual_interval_count,dual_maximum_nesting_depth,hld_interval_count,explicit_path_records_materialized,subdivision_builder_backend,subdivision_input_segment_count,subdivision_sweep_event_count,subdivision_candidate_pair_tests,subdivision_reported_intersections,subdivision_atomic_segment_count,validator_backend,validator_x_event_count,validator_y_coordinate_count,validator_range_add_count,validator_parity_toggle_count,validator_segment_tree_node_visits,validator_root_checks,validator_boundary_edge_scans,validator_active_rectangle_resorts,cut_index_logical_tree_node_count,cut_index_materialized_tree_node_count,cut_index_ordered_set_entry_count,polygon_selected_recovery_backend,dense_recovery_retained_byte_estimate,sparse_recovery_retained_upper_estimate
deee489dda9967f3a5558f5ab9c0f9640ce7a70f,rustc 1.89.0 (29483883e 2025-08-04),"target/release/rect-cli benchmark --suite dense-conflict --sizes 4,8,16,32,64,128 --output results/p1-baseline/dense-conflict.csv",,1785145700,6,6,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,dense-conflict-4x4,dense-conflict,"{""min_horizontal"":4,""min_vertical"":4}",1,verified,,false,57,36,0,16,8,8,16,reference-pairwise,36,,,,,,,,,,,,,,,,,,,16,32,32,64,17,40,40,16,40,32,50,80,35,56,8,8,9,reference-rescan,dominance-4d,,,,,,,,,,,,,,,,,,0,4,4,13,1,0,32,0,0,0,0,272,2,0,0,0,57,57,9,4,"{""biclique_partition"":38,""boundary_effective_chords"":36,""compressed_flow"":13,""dominance_embedding"":34,""final_output_validation"":1,""geometric_completion"":31,""horizontal_simple_chord_completion"":6,""rectangle_recovery"":16,""selected_chord_cut_materialization"":0,""vertical_simple_chord_completion"":4}","{""biclique_partition"":31,""boundary_effective_chords"":36,""compressed_flow"":7,""dominance_embedding"":3,""final_output_validation"":1,""geometric_completion"":25,""horizontal_simple_chord_completion"":4,""rectangle_recovery"":13,""selected_chord_cut_materialization"":0,""vertical_simple_chord_completion"":4}","{""biclique_partition"":15,""boundary_effective_chords"":24,""boundary_extraction"":18,""component_preparation"":1,""compressed_flow"":4,""dominance_embedding"":1,""effective_chord_enumeration"":1,""final_output_validation"":1,""geometric_completion"":26,""horizontal_simple_chord_completion"":16,""rectangle_recovery"":1,""reflex_grouping"":0,""selected_chord_cut_materialization"":0,""vertical_simple_chord_completion"":4}",,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deee489dda9967f3a5558f5ab9c0f9640ce7a70f,rustc 1.89.0 (29483883e 2025-08-04),"target/release/rect-cli benchmark --suite dense-conflict --sizes 4,8,16,32,64,128 --output results/p1-baseline/dense-conflict.csv",,1785145700,6,6,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,dense-conflict-8x8,dense-conflict,"{""min_horizontal"":8,""min_vertical"":8}",1,verified,,false,137,68,0,32,16,16,32,reference-pairwise,76,,,,,,,,,,,,,,,,,,,32,96,96,256,24,84,84,32,84,96,130,224,58,116,16,16,17,reference-rescan,dominance-4d,,,,,,,,,,,,,,,,,,2,13,26,26,1,0,96,0,0,0,0,624,2,0,0,0,137,137,17,4,"{""biclique_partition"":48,""boundary_effective_chords"":67,""compressed_flow"":15,""dominance_embedding"":9,""final_output_validation"":3,""geometric_completion"":68,""horizontal_simple_chord_completion"":16,""rectangle_recovery"":30,""selected_chord_cut_materialization"":2,""vertical_simple_chord_completion"":13}","{""biclique_partition"":59,""boundary_effective_chords"":76,""compressed_flow"":10,""dominance_embedding"":6,""final_output_validation"":1,""geometric_completion"":71,""horizontal_simple_chord_completion"":13,""rectangle_recovery"":26,""selected_chord_cut_materialization"":2,""vertical_simple_chord_completion"":26}","{""biclique_partition"":25,""boundary_effective_chords"":62,""boundary_extraction"":52,""component_preparation"":0,""compressed_flow"":7,""dominance_embedding"":2,""effective_chord_enumeration"":4,""final_output_validation"":1,""geometric_completion"":42,""horizontal_simple_chord_completion"":10,""rectangle_recovery"":4,""reflex_grouping"":1,""selected_chord_cut_materialization"":0,""vertical_simple_chord_completion"":22}",,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deee489dda9967f3a5558f5ab9c0f9640ce7a70f,rustc 1.89.0 (29483883e 2025-08-04),"target/release/rect-cli benchmark --suite dense-conflict --sizes 4,8,16,32,64,128 --output results/p1-baseline/dense-conflict.csv",,1785145700,6,6,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,dense-conflict-16x16,dense-conflict,"{""min_horizontal"":16,""min_vertical"":16}",1,verified,,false,393,132,0,64,32,32,64,reference-pairwise,180,,,,,,,,,,,,,,,,,,,64,320,320,1024,51,189,189,64,189,320,386,704,117,253,32,32,33,reference-rescan,dominance-4d,,,,,,,,,,,,,,,,,,9,57,39,105,3,0,320,0,0,0,0,1712,2,0,0,0,393,393,33,4,"{""biclique_partition"":176,""boundary_effective_chords"":185,""compressed_flow"":42,""dominance_embedding"":20,""final_output_validation"":5,""geometric_completion"":213,""horizontal_simple_chord_completion"":51,""rectangle_recovery"":94,""selected_chord_cut_materialization"":10,""vertical_simple_chord_completion"":45}","{""biclique_partition"":184,""boundary_effective_chords"":180,""compressed_flow"":18,""dominance_embedding"":33,""final_output_validation"":3,""geometric_completion"":222,""horizontal_simple_chord_completion"":57,""rectangle_recovery"":105,""selected_chord_cut_materialization"":9,""vertical_simple_chord_completion"":39}","{""biclique_partition"":67,""boundary_effective_chords"":125,""boundary_extraction"":111,""component_preparation"":2,""compressed_flow"":16,""dominance_embedding"":5,""effective_chord_enumeration"":4,""final_output_validation"":3,""geometric_completion"":75,""horizontal_simple_chord_completion"":37,""rectangle_recovery"":4,""reflex_grouping"":2,""selected_chord_cut_materialization"":0,""vertical_simple_chord_completion"":16}",,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deee489dda9967f3a5558f5ab9c0f9640ce7a70f,rustc 1.89.0 (29483883e 2025-08-04),"target/release/rect-cli benchmark --suite dense-conflict --sizes 4,8,16,32,64,128 --output results/p1-baseline/dense-conflict.csv",,1785145700,6,6,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,dense-conflict-32x32,dense-conflict,"{""min_horizontal"":32,""min_vertical"":32}",1,verified,,false,1289,260,0,128,64,64,128,reference-pairwise,506,,,,,,,,,,,,,,,,,,,128,1152,1152,4096,87,386,386,128,386,1152,1282,2432,217,514,64,64,65,reference-rescan,dominance-4d,,,,,,,,,,,,,,,,,,39,200,185,286,9,0,1152,0,0,0,0,5424,2,0,0,0,1289,1289,65,4,"{""biclique_partition"":580,""boundary_effective_chords"":533,""compressed_flow"":107,""dominance_embedding"":47,""final_output_validation"":9,""geometric_completion"":754,""horizontal_simple_chord_completion"":200,""rectangle_recovery"":292,""selected_chord_cut_materialization"":40,""vertical_simple_chord_completion"":188}","{""biclique_partition"":447,""boundary_effective_chords"":506,""compressed_flow"":30,""dominance_embedding"":43,""final_output_validation"":9,""geometric_completion"":742,""horizontal_simple_chord_completion"":200,""rectangle_recovery"":286,""selected_chord_cut_materialization"":39,""vertical_simple_chord_completion"":185}","{""biclique_partition"":96,""boundary_effective_chords"":257,""boundary_extraction"":232,""component_preparation"":5,""compressed_flow"":24,""dominance_embedding"":7,""effective_chord_enumeration"":7,""final_output_validation"":10,""geometric_completion"":169,""horizontal_simple_chord_completion"":64,""rectangle_recovery"":11,""reflex_grouping"":5,""selected_chord_cut_materialization"":0,""vertical_simple_chord_completion"":46}",,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deee489dda9967f3a5558f5ab9c0f9640ce7a70f,rustc 1.89.0 (29483883e 2025-08-04),"target/release/rect-cli benchmark --suite dense-conflict --sizes 4,8,16,32,64,128 --output results/p1-baseline/dense-conflict.csv",,1785145700,6,6,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,dense-conflict-64x64,dense-conflict,"{""min_horizontal"":64,""min_vertical"":64}",1,verified,,false,4617,516,0,256,128,128,256,reference-pairwise,1914,,,,,,,,,,,,,,,,,,,256,4352,4352,16384,164,795,795,256,795,4352,4610,8960,422,1051,128,128,129,reference-rescan,dominance-4d,,,,,,,,,,,,,,,,,,157,778,734,997,28,0,4352,0,0,0,0,18992,2,0,0,0,4617,4617,129,4,"{""biclique_partition"":2194,""boundary_effective_chords"":1847,""compressed_flow"":367,""dominance_embedding"":165,""final_output_validation"":33,""geometric_completion"":3016,""horizontal_simple_chord_completion"":776,""rectangle_recovery"":1072,""selected_chord_cut_materialization"":152,""vertical_simple_chord_completion"":883}","{""biclique_partition"":1647,""boundary_effective_chords"":1914,""compressed_flow"":58,""dominance_embedding"":209,""final_output_validation"":28,""geometric_completion"":2791,""horizontal_simple_chord_completion"":778,""rectangle_recovery"":997,""selected_chord_cut_materialization"":157,""vertical_simple_chord_completion"":734}","{""biclique_partition"":208,""boundary_effective_chords"":764,""boundary_extraction"":709,""component_preparation"":16,""compressed_flow"":50,""dominance_embedding"":13,""effective_chord_enumeration"":13,""final_output_validation"":27,""geometric_completion"":574,""horizontal_simple_chord_completion"":223,""rectangle_recovery"":32,""reflex_grouping"":10,""selected_chord_cut_materialization"":3,""vertical_simple_chord_completion"":156}",,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deee489dda9967f3a5558f5ab9c0f9640ce7a70f,rustc 1.89.0 (29483883e 2025-08-04),"target/release/rect-cli benchmark --suite dense-conflict --sizes 4,8,16,32,64,128 --output results/p1-baseline/dense-conflict.csv",,1785145700,6,6,finite-colored-unit-cell-grid,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,dense-conflict-128x128,dense-conflict,"{""min_horizontal"":128,""min_vertical"":128}",1,verified,,false,17417,1028,0,512,256,256,512,reference-pairwise,9184,,,,,,,,,,,,,,,,,,,512,16896,16896,65536,308,1619,1619,512,1619,16896,17410,34304,822,2131,256,256,257,reference-rescan,dominance-4d,,,,,,,,,,,,,,,,,,625,3456,3374,3878,97,0,16896,0,0,0,0,70704,2,0,0,0,17417,17417,257,4,"{""biclique_partition"":10210,""boundary_effective_chords"":8092,""compressed_flow"":1319,""dominance_embedding"":802,""final_output_validation"":99,""geometric_completion"":12749,""horizontal_simple_chord_completion"":3633,""rectangle_recovery"":4371,""selected_chord_cut_materialization"":628,""vertical_simple_chord_completion"":3594}","{""biclique_partition"":6918,""boundary_effective_chords"":9184,""compressed_flow"":115,""dominance_embedding"":811,""final_output_validation"":97,""geometric_completion"":11860,""horizontal_simple_chord_completion"":3456,""rectangle_recovery"":3878,""selected_chord_cut_materialization"":625,""vertical_simple_chord_completion"":3374}","{""biclique_partition"":419,""boundary_effective_chords"":2898,""boundary_extraction"":2764,""component_preparation"":56,""compressed_flow"":91,""dominance_embedding"":29,""effective_chord_enumeration"":25,""final_output_validation"":103,""geometric_completion"":2217,""horizontal_simple_chord_completion"":846,""rectangle_recovery"":113,""reflex_grouping"":24,""selected_chord_cut_materialization"":10,""vertical_simple_chord_completion"":573}",,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
